Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.124,34.40369951695506,0.4000000172273374,0.4,-3.2366375033997635e-10,1.431419709017734,0.9999999915430423,0.9919935380185025,0.9999999956084188,0.9959841728000683
0.126,34.40369950523158,0.4000000169983841,0.4,-3.2763168999154096e-10,1.4314197090190304,0.9999999915499646,0.9919935380241226,0.9999999956117835,0.9959841728045024
0.128,34.40369949336623,0.4000000167672719,0.4,-3.315455144265575e-10,1.431419709020276,0.9999999915569552,0.9919935380297975,0.9999999956151813,0.9959841728089798
0.13,34.40369948136096,0.4000000165340482,0.4,-3.35404729885441e-10,1.4314197090214702,0.9999999915640124,0.9919935380355258,0.9999999956186111,0.9959841728134995
0.132,34.40369946921775,0.40000001629876075,0.4,-3.3920885369786684e-10,1.4314197090226104,0.9999999915711352,0.9919935380413066,0.9999999956220724,0.9959841728180605
0.134,34.40369945693858,0.4000000160614562,0.4,-3.42957414287094e-10,1.4314197090236982,0.9999999915783212,0.9919935380471382,0.9999999956255644,0.9959841728226619
0.136,34.403699444525486,0.4000000158221822,0.4,-3.466499511764502e-10,1.431419709024731,0.9999999915855696,0.9919935380530199,0.9999999956290865,0.9959841728273029
0.138,34.40369943198047,0.40000001558098597,0.4,-3.5028601500230155e-10,1.431419709025709,0.9999999915928781,0.9919935380589502,0.9999999956326375,0.995984172831982
0.14,34.403699419305575,0.40000001533791457,0.4,-3.5386516741029347e-10,1.4314197090266316,0.9999999916002456,0.9919935380649277,0.9999999956362171,0.9959841728366987
0.142,34.40369940650287,0.400000015093016,0.4,-3.5738698123260596e-10,1.4314197090274972,0.9999999916076706,0.9919935380709514,0.9999999956398243,0.9959841728414517
0.144,34.403699393574406,0.40000001484633674,0.4,-3.608510403604164e-10,1.4314197090283063,0.999999991615151,0.9919935380770197,0.9999999956434585,0.9959841728462402
0.146,34.40369938052228,0.40000001459792506,0.4,-3.6425693984982e-10,1.431419709029057,0.9999999916226856,0.9919935380831318,0.9999999956471188,0.995984172851063
0.148,34.40369936734861,0.40000001434782756,0.4,-3.6760428578348476e-10,1.4314197090297498,0.9999999916302728,0.991993538089286,0.9999999956508044,0.9959841728559192
0.15,34.40369935405548,0.40000001409609254,0.4,-3.708926953981883e-10,1.4314197090303833,0.9999999916379109,0.9919935380954814,0.9999999956545147,0.9959841728608079
0.152,34.40369934064505,0.4000000138427663,0.4,-3.7412179703077703e-10,1.4314197090309568,0.9999999916455982,0.9919935381017164,0.9999999956582488,0.9959841728657278
0.154,34.40369932711943,0.40000001358789705,0.4,-3.772912301376206e-10,1.4314197090314709,0.9999999916533332,0.9919935381079901,0.9999999956620061,0.9959841728706785
0.156,34.4036993134808,0.400000013331532,0.4,-3.804006452794807e-10,1.4314197090319245,0.9999999916611143,0.9919935381143008,0.9999999956657857,0.9959841728756583
0.158,34.403699299731315,0.4000000130737187,0.4,-3.834497041798753e-10,1.431419709032317,0.9999999916689398,0.9919935381206474,0.9999999956695866,0.9959841728806664
0.16,34.40369928587315,0.40000001281450415,0.4,-3.8643807954566215e-10,1.4314197090326475,0.9999999916768084,0.991993538127029,0.9999999956734086,0.9959841728857021
0.162,34.40369927190851,0.40000001255393586,0.4,-3.8936545523780857e-10,1.4314197090329157,0.9999999916847182,0.9919935381334438,0.9999999956772506,0.9959841728907642
0.164,34.40369925783958,0.4000000122920613,0.4,-3.9223152627571513e-10,1.431419709033122,0.9999999916926676,0.991993538139891,0.9999999956811118,0.9959841728958516
0.166,34.40369924366858,0.4000000120289276,0.4,-3.9503599863618217e-10,1.4314197090332654,0.999999991700655,0.9919935381463689,0.9999999956849914,0.9959841729009634
0.168,34.40369922939773,0.4000000117645819,0.4,-3.977785894825445e-10,1.4314197090333463,0.999999991708679,0.9919935381528765,0.999999995688889,0.9959841729060986
0.17,34.40369921502927,0.4000000114990721,0.4,-4.004590269874164e-10,1.4314197090333631,0.9999999917167378,0.9919935381594126,0.9999999956928034,0.9959841729112562
0.172,34.40369920056543,0.400000011232445,0.4,-4.030770504256422e-10,1.4314197090333165,0.9999999917248298,0.9919935381659756,0.9999999956967339,0.995984172916435
0.174,34.40369918600847,0.40000001096474735,0.4,-4.056324100510827e-10,1.431419709033206,0.9999999917329535,0.9919935381725645,0.9999999957006801,0.9959841729216343
