Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.274,50.356140212574076,0.6950378857838511,0.4,0.0019189690351426923,2.386822138287736,0.9350012380497252,0.9476559245266946,0.9699275863465199,0.9587244097559807
2.276,50.423977934793946,0.6958585928132003,0.4,0.0018497624237120574,2.3936225973813965,0.9358509026573167,0.948152959486659,0.9702565647875305,0.9591371558124553
2.278,50.4893209461244,0.6966346621331884,0.4,0.0017803757269395405,2.400411262225439,0.9366799342494997,0.9486386544452792,0.9705781646951673,0.9595405644591367
2.28,50.55216295142803,0.6973661709251834,0.4,0.0017108193824863238,2.407188033039256,0.9374892857954527,0.9491135909588047,0.9708927761614908,0.9599351218258076
2.282,50.612498030972276,0.6980532027053374,0.4,0.0016411038082667557,2.413952810849024,0.938279875219001,0.9495783287764722,0.9712007745647141,0.9603212957592607
2.284,50.67032063969248,0.698695846859921,0.4,0.0015712394010246524,2.420705497492163,0.9390525865939722,0.950033406571746,0.9715025210579519,0.9606995364334103
2.2844161805724723,50.68182906604615,0.6988200713400678,0.4,0.0015566724845992425,2.422108129677314,0.9392097851290946,0.9501261778090059,0.9715640684920372,0.9607766650258753
2.2844161805724723,50.68182906604615,0.6988200713403465,0.4,0.0015566724845992425,2.422108129677314,0.9392097851294464,0.9501261778092137,0.9715640684921751,0.9607766650260481
2.286,50.72541769708351,0.6992902862766052,0.4,0.001501226197127436,2.4274449895907897,0.939806898912767,0.9504786155930337,0.9717978954797883,0.9610696816956994
2.288,50.778199867925146,0.699844470842385,0.4,0.0014310961347558519,2.4341732045220015,0.9405464438122579,0.9509159488905856,0.9720881939588221,0.9614333722248852
2.29,50.82845520538563,0.7003545666827528,0.4,0.0013608482837015642,2.4408890387235886,0.9412705686017103,0.9513451171211954,0.9723732422363041,0.9617903784743057
2.292,50.87617965454952,0.7008206826075536,0.4,0.0012904929438535399,2.4475923973202987,0.9419800331725615,0.9517665815141977,0.9726533491508863,0.9621410856501174
2.294,50.92136953081694,0.7012429313976349,0.4,0.0012200403882534423,2.454283186268809,0.9426755689337498,0.9521807855049182,0.9729288115107096,0.9624858640244507
2.2955706677185366,50.95486558124001,0.7015399716737871,0.4,0.0011646433100315741,2.4595277448058797,0.9432113677561231,0.9525006868216042,0.9731417054873728,0.9627522374445323
2.2955706677185366,50.95486558124001,0.7015399716739641,0.4,0.0011646433100315741,2.4595277448058797,0.9432113677564409,0.952500686821794,0.973141705487499,0.9627522374446902
2.296,50.96380738913336,0.701617546007057,0.4,0.001149494239270239,2.4609602407734896,0.9433567690566327,0.9525875876385909,0.9731995536176896,0.9628246072771515
2.296975698250345,50.98337547167017,0.7017806388942905,0.4,0.0011150445904554735,2.4642119371238005,0.9436834797007707,0.9527831768984333,0.9733298115029,0.9629875275541904
2.296975698250345,50.98337547167017,0.7017806388944462,0.4,0.0011150445904554735,2.4642119371238005,0.9436834797010825,0.9527831768986199,0.9733298115030243,0.9629875275543458
2.298,51.00360057999,0.701946730490197,0.4,0.0010788705916744067,2.4676235114320835,0.9440250451221521,0.9529877867256815,0.9734660997180734,0.9631579759418631
2.3,51.04116785469932,0.7022381514651509,0.4,0.0010081899747129265,2.4742636457918468,0.9446830488667083,0.953382782617826,0.9737293492344156,0.9634871155626195
2.302,51.07618958115319,0.7024861859003287,0.4,0.0009374529347198155,2.4808577609599087,0.9453297763606858,0.9537721211894823,0.9739890260073865,0.9638116642153778
2.304,51.1086639105237,0.7026909558846497,0.4,0.0008666696001849119,2.487385566053447,0.9459658275975805,0.9541561638102041,0.9742453713443919,0.9641319232857762
2.306,51.138589358079145,0.7028525827955981,0.4,0.0007958500702111811,2.4938281627948764,0.9465917779172452,0.9545352564860153,0.9744986161647107,0.9644481812644019
2.308,51.16596480212925,0.702971187157063,0.4,0.0007250044147004503,2.5001679884425316,0.9472081788031281,0.9549097303456077,0.9747489813249373,0.9647607141527615
2.31,51.19078948297783,0.7030468885258406,0.4,0.0006541426745687039,2.5063887602898176,0.9478155586561258,0.955279902111981,0.974996677934658,0.9650697858570862
2.312,51.21306300188343,0.7030798054050188,0.4,0.0005832748619849547,2.5124754217029728,0.9484144235456117,0.9556460745599091,0.9752419076626251,0.9653756485702908
2.314,51.23278532002909,0.7030700551825297,0.4,0.0005124109606271065,2.51841408966925,0.9490052579381952,0.9560085369596101,0.9754848630336793,0.9656785431424105
2.316,51.2499567575014,0.7030177540932439,0.4,0.0004415609259496207,2.5241920038285652,0.9495885254047577,0.9563675655069876,0.9757257277166761,0.9659786994398197
2.318,51.26457799227941,0.7029230172030427,0.4,0.00037073468545716624,2.529797476962882,0.9501646693063103,0.9567234237408176,0.9759646768036664,0.9662763366935477
2.32,51.276650059233354,0.7027859584133874,0.4,0.0002999421389797971,2.535219846918457,0.9507341134592098,0.9570763629472332,0.9762018770805749,0.966571663836993
2.322,51.28617434913328,0.702606690484957,0.4,0.00022919315894453187,2.5404494299369285,0.951297262780263,0.9574266225518708,0.9764374872896188,0.966864879833336
2.324,51.29315260766736,0.7023853250790048,0.4,0.0001584975906395431,2.545477475371783,0.9518545039122411,0.9577744305000208,0.9766716583837042,0.9671561739929418
2.326,51.29758693446942,0.7021219728151444,0.4,8.78652524664675e-05,2.5502961217673072,0.9524062058303241,0.9581200036251311,0.9769045337730389,0.9674457262810494
2.328,51.29947978215537,0.7018167433443299,0.4,1.7305936177646687e-05,2.554898354277462,0.9529527204299788,0.9584635480059996,0.9771362495641852,0.9677337076160241
2.33,51.29883395536787,0.701469745435866,0.4,-5.317059290561444e-05,2.559277963402459,0.953494383096778,0.9588052593129884,0.977366934791785,0.9680202801584595
2.332,51.2956526098283,0.7010810870773304,0.4,-0.0001235545956964139,2.563429505020973,0.95403151325865,0.9591453231435856,0.9775967116431776,0.9683055975914008
2.334,51.289939251395616,0.7006508755863464,0.4,-0.00019383635917063471,2.5673482616961296,0.9545644149210457,0.9594839153476341,0.9778256956761276,0.9685898053919597
2.336,51.28169773513071,0.7001792177332066,0.4,-0.0002640061962224902,2.571030205233403,0.9550933771855022,0.9598212023425441,0.9780539960298796,0.968873041094586
2.338,51.27093226436552,0.6996662198733828,0.4,-0.0003340544455501514,2.5744719604686788,0.9556186747520738,0.9601573414187937,0.9782817156297482,0.9691554345462564
2.34,51.257647389775634,0.6991119880890184,0.4,-0.0004039714715731576,2.577670770264637,0.9561405684060862,0.9604924810360209,0.9785089513854481,0.9694371081538313
2.342,51.24184800845537,0.6985166283385407,0.4,-0.0004737476643841028,2.580624461693647,0.9566593054896763,0.9608267611100046,0.9787357943833724,0.9697181771238348
2.344,51.223539362993826,0.6978802466135758,0.4,-0.0005433734397358963,2.583331413385242,0.9571751203585548,0.9611603132908179,0.9789623300730054,0.9699987496948951
2.346,51.20272704055078,0.6972029491023881,0.4,-0.0006128392390667075,2.5857905240162027,0.9576882348244329,0.9614932612324455,0.9791886384476751,0.970278927363089
2.348,51.17941697193105,0.6964848423591163,0.4,-0.0006821355295635316,2.5880011819211592,0.9581988585835383,0.9618257208541328,0.9794147942198261,0.9705588051004206
2.35,51.153615430655684,0.6957260334781052,0.4,-0.0007512528042661409,2.5899632358015503,0.9587071896316421,0.9621578005937448,0.9796408669910008,0.9708384715666655
2.352,51.125329032028894,0.694926630272677,0.4,-0.0008201815822120348,2.591676966510655,0.9592134146660073,0.9624896016533941,0.9798669214167096,0.9711180093147995
2.354,51.0945647321988,0.6940867414577211,0.4,-0.0008889124086238445,2.5931430598923573,0.9597177094746592,0.9628212182375998,0.9800930173663644,0.9713974949902322
2.356,51.06132982721079,0.6932064768355135,0.4,-0.0009574358551395156,2.5943625806511807,0.9602202393133745,0.9631527377842252,0.9803192100784487,0.9716769995240556
2.358,51.025631952051775,0.6922859474842046,0.4,-0.0010257425200864462,2.5953369472310968,0.9607211592707726,0.9634842411884434,0.9805455503110898,0.9719565883205168
2.36,50.987479079683766,0.6913252659484592,0.4,-0.001093823028799648,2.596067907680521,0.9612206146218862,0.9638158030199703,0.9807720844881996,0.9722363214389149
2.362,50.94687952006518,0.6903245464317412,0.4,-0.0011616680339848573,2.596557516480891,0.9617187411705777,0.964147491733794,0.9809988548413393,0.9725162537701183
2.364,50.903841919158324,0.6892839049897844,0.4,-0.0012292682161264357,2.5968081123161815,0.9622156655811633,0.9644793698746333,0.981225899547463,0.9727964352078938
2.366,50.858375257921296,0.6882034597247981,0.4,-0.0012966142839407637,2.5968222967607106,0.9627115056995965,0.964811494275344,0.9814532528626945,0.9730769108152364
2.368,50.81048885128285,0.6870833309800014,0.4,-0.0013636969748747655,2.5966029138626125,0.9632063708645469,0.965143916249486,0.9816809452522777,0.9733577209858734
2.37,50.76019234709836,0.6859236415340783,0.4,-0.0014305070556500676,2.59615303060037,0.9637003622087181,0.9654766817782652,0.9819090035168462,0.9736389016011283
2.372,50.70749572508556,0.6847245167951977,0.4,-0.0014970353228522496,2.5954759181898743,0.9641935729507216,0.9658098316920471,0.9821374509151498,0.9739204841823061
2.374,50.652409295738046,0.6834860849942355,0.4,-0.001563272603565514,2.5945750342195475,0.9646860886778296,0.966143401846647,0.9823663072833694,0.9742024960387714
2.376,50.59494369921533,0.682208477376881,0.4,-0.0016292097560520733,2.593454005591164,0.965177987619913,0.966477423294579,0.9825955891511509,0.974484960411877
2.378,50.53510990420743,0.6808918283943054,0.4,-0.0016948376704764205,2.5921166122441313,0.9656693409148659,0.9668119224514578,0.9828253098544857,0.974767896614901
2.38,50.472919206772815,0.6795362758921135,0.4,-0.0017601472696736442,2.590566771641131,0.9661602128658091,0.9671469212577284,0.9830554796455554,0.97505132016914
2.382,50.40838322914762,0.6781419612972868,0.4,-0.0018251295099618128,2.5888085239931793,0.9666506611903593,0.9674824373358988,0.9832861057996607,0.9753352429363065
2.384,50.34151391852513,0.6767090298028776,0.4,-0.0018897753819974612,2.586846018202364,0.9671407372622359,0.9678184841434444,0.9835171927193476,0.9756196732473729
2.386,50.27232354580344,0.6752376305501884,0.4,-0.0019540759116740834,2.584683498500692,0.9676304863454794,0.9681550711215483,0.9837487420358411,0.9759046160279944
2.388,50.20082470430022,0.6737279168082284,0.4,-0.0020180221610625526,2.582325291763737,0.9681199478215382,0.9684922038398331,0.9839807527078898,0.9761900729206461
2.39,50.127030308432666,0.6721800461502132,0.4,-0.0020816052293932586,2.579775795477979,0.9686091554094796,0.9688298841372394,0.9842132211181285,0.9764760424036011
