Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.228,35.909022122002725,0.45234098670470896,0.4,0.001035071039522932,1.5313895031592084,1.0029644833637812,0.9933421740193972,1.0009579416270669,0.9971471323653464
4.23,35.946062027184865,0.4529049486236377,0.4,0.0010226797022716964,1.5313833203960097,1.0029584794096498,0.993333165898591,1.0009522881183623,0.9971398700935652
4.232,35.98265350718526,0.453458991034001,0.4,0.0010101589177122317,1.5313772428018144,1.0029528021050826,0.9933244294094498,1.0009468032672841,0.9971328259647003
4.234,36.01879194391244,0.45400305906578,0.4,0.000997511021922751,1.531371266671762,1.0029474561962473,0.9933159689427669,1.0009414902992764,0.9971260038224034
4.236,36.05447280359824,0.45453709950824156,0.4,0.0009847383633901927,1.531365388253261,1.002942446357937,0.9933077888197421,1.0009363523908377,0.9971194074508044
4.238,36.08969163723756,0.45506106081162534,0.4,0.0009718433026211727,1.5313596037472508,1.002937777191418,0.9932998932900399,1.000931392668023,0.9971130405727681
4.24,36.124444081014026,0.45557489308861093,0.4,0.0009588282117526359,1.5313539093094928,1.0029334532223089,0.9932922865298834,1.0009266142049784,0.9971069068481806
4.242,36.158725856711726,0.45607854811556975,0.4,0.0009456954741621706,1.531348301051884,1.0029294788984866,0.9932849726401792,1.0009220200224955,0.9971010098722668
4.244,36.19253277211282,0.4565719793336023,0.4,0.0009324474840781468,1.5313427750437965,1.0029258585880234,0.9932779556446765,1.0009176130865969,0.9970953531739378
4.246,36.22586072138116,0.45705514184936236,0.4,0.0009190866461896398,1.531337327313441,1.0029225965771549,0.993271239488162,1.0009133963071488,0.9970899402141713
4.248,36.25870568543179,0.45752799243566983,0.4,0.000905615375256256,1.5313319538492531,1.002919697068282,0.9932648280346897,1.000909372536502,0.9970847743844238
4.25,36.29106373228659,0.45799048953191657,0.4,0.000892036095717816,1.5313266506013021,1.0029171641780057,0.9932587250658476,1.0009055445681592,0.9970798590050763
4.252,36.322931017415605,0.4584425932442633,0.4,0.0008783512413040632,1.5313214134827209,1.0029150019351964,0.9932529342790628,1.0009019151354783,0.9970751973239159
4.254,36.35430378406456,0.45888426534563254,0.4,0.0008645632546443564,1.531316238371156,1.002913214279099,0.993247459285945,1.0008984869103985,0.9970707925146499
4.256,36.385178363568166,0.45931546927549516,0.4,0.0008506745868774229,1.5313111211102404,1.0029118050574766,0.9932423036106677,1.0008952625022036,0.9970666476754576
4.258,36.4155511756494,0.45973617013946055,0.4,0.000836687697261252,1.5313060575110793,1.0029107780247883,0.9932374706883919,1.0008922444563138,0.997062765827578
4.26,36.44541872870487,0.4601463347086609,0.4,0.0008226050527830824,1.5313010433537628,1.0029101368404103,0.99323296386373,1.0008894352531124,0.997059149913936
4.262,36.47477762007599,0.46054593141894123,0.4,0.0008084291277696528,1.531296074388887,1.0029098850668934,0.9932287863892498,1.0008868373067998,0.997055802797803
4.264,36.50362453630622,0.46093493036985145,0.4,0.0007941624034976646,1.531291146339099,1.0029100261682629,0.9932249414240238,1.0008844529642886,0.9970527272615007
4.266,36.53195625338421,0.4613133033234437,0.4,0.0007798073678045762,1.5312862549006498,1.0029105635083597,0.9932214320322198,1.0008822845041274,0.9970499260051405
4.268,36.55976963697304,0.46168102370287717,0.4,0.0007653665146996728,1.5312813957449696,1.0029115003492233,0.993218261181735,1.000880334135459,0.9970474016454047
4.27,36.58706164262538,0.46203806659083013,0.4,0.0007508423439755849,1.5312765645202537,1.0029128398495184,0.9932154317428763,1.0008786039970168,0.9970451567143671
4.272,36.613829315984745,0.46238440872772374,0.4,0.000736237360820196,1.5312717568530616,1.002914585063008,0.9932129464870842,1.0008770961561537,0.9970431936583546
4.274,36.64006979297264,0.4627200285097557,0.4,0.0007215540754290633,1.5312669683499234,1.0029167389370666,0.9932108080857045,1.0008758126079078,0.9970415148368514
4.276,36.665780299962016,0.46304490598675024,0.4,0.0007067950026182896,1.531262194598968,1.0029193043112452,0.9932090191088034,1.000874755274105,0.9970401225214439
4.278,36.690958153936535,0.463359022859819,0.4,0.00069196266143802,1.531257431171553,1.0029222839158776,0.9932075820240326,1.000873926002497,0.9970390188948083
4.28,36.715600762636114,0.46366236247884185,0.4,0.0006770595747865035,1.5312526736239072,1.0029256803707365,0.9932064991955396,1.0008733265659375,0.9970382060497418
4.282,36.73970562468846,0.4639549098397625,0.4,0.0006620882690248391,1.5312479174987783,1.002929496183738,0.9932057728829273,1.0008729586615952,0.997037685988237
4.284,36.76327032972686,0.4642366515817064,0.4,0.0006470512735923446,1.5312431583270962,1.0029337337496946,0.9932054052402624,1.0008728239102054,0.9970374606205996
4.286,36.786292558494054,0.4645075759839165,0.4,0.0006319511206227211,1.5312383916296353,1.0029383953491153,0.9932053983151297,1.000872923855357,0.9970375317646102
4.288,36.808770082932384,0.4647676729625141,0.4,0.0006167903445609507,1.531233612918682,1.002943483147059,0.9932057540477414,1.000873259962824,0.9970379011447325
