Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.066,34.403699755130724,0.40000002214018127,0.4,-1.8018264213465635e-10,-1.5234048679826398e-08,0.9999999913937021,0.9919935378974305,0.9999999955358994,0.9959841727045243
0.068,34.403699744428316,0.40000002193682066,0.4,-1.8378204037031403e-10,-1.5023534379130802e-08,0.9999999913997695,0.9919935379023737,0.9999999955388558,0.9959841727084223
0.07,34.40369973372591,0.40000002173345955,0.4,-1.873814386059717e-10,-1.4813020078435266e-08,0.9999999914058363,0.991993537907317,0.999999995541812,0.9959841727123203
0.072,34.40369972302351,0.40000002153009884,0.4,-1.9098083684162935e-10,-1.460250577773969e-08,0.9999999914119033,0.9919935379122602,0.9999999955447683,0.9959841727162181
0.074,34.4036997123211,0.40000002132673795,0.4,-1.9458023507728703e-10,-1.4391991477044186e-08,0.9999999914179706,0.9919935379172035,0.9999999955477246,0.9959841727201162
0.076,34.40369970161869,0.40000002112337724,0.4,-1.981796333129447e-10,-1.4181477176348643e-08,0.9999999914240375,0.9919935379221466,0.9999999955506809,0.9959841727240141
0.078,34.403699690916284,0.4000000209200166,0.4,-2.0177903154860238e-10,-1.39709628756531e-08,0.9999999914301049,0.9919935379270899,0.9999999955536372,0.9959841727279122
0.08,34.403699680213876,0.4000000207166555,0.4,-2.0537842978426006e-10,-1.3760448574957563e-08,0.9999999914361717,0.9919935379320333,0.9999999955565936,0.9959841727318101
0.082,34.403699669511475,0.40000002051329464,0.4,-2.0897782801991773e-10,-1.3549934274262046e-08,0.9999999914422387,0.9919935379369764,0.9999999955595498,0.9959841727357079
0.084,34.40369965880907,0.40000002030993437,0.4,-2.125772262555754e-10,-1.333941997356645e-08,0.9999999914483059,0.9919935379419198,0.9999999955625062,0.995984172739606
0.086,34.40369964810666,0.40000002010657343,0.4,-2.1617662449123306e-10,-1.3128905672870934e-08,0.999999991454373,0.991993537946863,0.9999999955654625,0.995984172743504
0.088,34.40369963740425,0.4000000199032123,0.4,-2.1977602272689073e-10,-1.2918391372175357e-08,0.9999999914604402,0.9919935379518062,0.9999999955684188,0.995984172747402
0.09,34.403699626701844,0.40000001969985166,0.4,-2.233754209625484e-10,-1.2707877071479801e-08,0.9999999914665072,0.9919935379567494,0.9999999955713751,0.9959841727512999
0.092,34.403699615999436,0.40000001949649067,0.4,-2.2697481919820609e-10,-1.2497362770784265e-08,0.9999999914725743,0.9919935379616927,0.9999999955743314,0.9959841727551979
0.094,34.403699605297035,0.40000001929313,0.4,-2.3057421743386376e-10,-1.2286848470088702e-08,0.9999999914786413,0.991993537966636,0.9999999955772877,0.995984172759096
0.096,34.40369959459463,0.4000000190897694,0.4,-2.3417361566952144e-10,-1.2076334169393218e-08,0.9999999914847085,0.9919935379715792,0.999999995580244,0.9959841727629938
0.098,34.40369958389222,0.40000001888640824,0.4,-2.377730139051791e-10,-1.1865819868697622e-08,0.9999999914907756,0.9919935379765226,0.9999999955832003,0.9959841727668919
0.1,34.40369957318981,0.4000000186830475,0.4,-2.413724121408368e-10,-1.1655305568002046e-08,0.9999999914968425,0.9919935379814656,0.9999999955861565,0.9959841727707897
0.102,34.403699562487404,0.4000000184796868,0.4,-2.4497181037649444e-10,-1.1444791267306569e-08,0.9999999915029097,0.9919935379864091,0.999999995589113,0.9959841727746879
0.104,34.403699551785,0.4000000182763261,0.4,-2.4857120861215214e-10,-1.1234276966611052e-08,0.9999999915089768,0.9919935379913523,0.9999999955920693,0.9959841727785858
0.106,34.403699541082595,0.4000000180729652,0.4,-2.521706068478098e-10,-1.102376266591543e-08,0.9999999915150438,0.9919935379962953,0.9999999955950255,0.9959841727824837
0.108,34.40369953038019,0.40000001786960426,0.4,-2.5577000508346744e-10,-1.0813248365219933e-08,0.999999991521111,0.9919935380012387,0.9999999955979819,0.9959841727863816
0.11,34.40369951967778,0.4000000176662437,0.4,-2.5936940331912515e-10,-1.0602734064524396e-08,0.9999999915271781,0.991993538006182,0.9999999956009382,0.9959841727902796
0.112,34.40369950897537,0.40000001746288255,0.4,-2.6296880155478285e-10,-1.03922197638289e-08,0.9999999915332451,0.9919935380111252,0.9999999956038945,0.9959841727941776
0.114,34.40369949827297,0.40000001725952183,0.4,-2.665681997904405e-10,-1.0181705463133283e-08,0.9999999915393122,0.9919935380160685,0.9999999956068509,0.9959841727980757
0.116,34.40369948757056,0.40000001705616106,0.4,-2.701675980260982e-10,-9.971191162437767e-09,0.9999999915453791,0.9919935380210116,0.9999999956098071,0.9959841728019736
0.118,34.403699476868155,0.4000000168528002,0.4,-2.7376699626175585e-10,-9.760676861742296e-09,0.9999999915514465,0.9919935380259548,0.9999999956127634,0.9959841728058715
0.12,34.40369946616575,0.4000000166494395,0.4,-2.773663944974135e-10,-9.55016256104666e-09,0.9999999915575135,0.9919935380308982,0.9999999956157198,0.9959841728097696
0.122,34.40369945546334,0.4000000164460785,0.4,-2.809657927330712e-10,-9.339648260351117e-09,0.9999999915635805,0.9919935380358414,0.9999999956186761,0.9959841728136675
0.124,34.40369944476094,0.4000000162427178,0.4,-2.8456519096872885e-10,-9.129133959655534e-09,0.9999999915696476,0.9919935380407847,0.9999999956216323,0.9959841728175655
0.126,34.40369943405853,0.40000001603935714,0.4,-2.8816458920438655e-10,-8.918619658960077e-09,0.9999999915757146,0.9919935380457279,0.9999999956245887,0.9959841728214635
0.128,34.40369942335613,0.40000001583599637,0.4,-2.917639874400442e-10,-8.708105358264481e-09,0.9999999915817818,0.9919935380506711,0.9999999956275449,0.9959841728253614
0.13,34.40369941265372,0.4000000156326354,0.4,-2.953633856757019e-10,-8.497591057568978e-09,0.9999999915878489,0.9919935380556144,0.9999999956305013,0.9959841728292594
0.132,34.403699401333036,0.4000000154317346,0.4,-2.975511229408807e-10,-8.33097106497477e-09,0.9999999915938141,0.991993538060481,0.9999999956334107,0.9959841728330961
0.134,34.403699389301,0.4000000152336637,0.4,-2.981146911324978e-10,-8.214853125787457e-09,0.9999999915996627,0.9919935380652593,0.9999999956362657,0.9959841728368625
0.136,34.40369937726897,0.40000001503559285,0.4,-2.986782593241149e-10,-8.09873518660021e-09,0.9999999916055111,0.9919935380700378,0.9999999956391211,0.995984172840629
0.138,34.403699365236946,0.4000000148375225,0.4,-2.99241827515732e-10,-7.982617247412924e-09,0.9999999916113596,0.9919935380748162,0.9999999956419764,0.9959841728443952
0.14,34.403699353204914,0.4000000146394515,0.4,-2.998053957073491e-10,-7.86649930822565e-09,0.9999999916172078,0.9919935380795943,0.9999999956448314,0.9959841728481615
0.142,34.40369934117288,0.40000001444138084,0.4,-3.003689638989662e-10,-7.750381369038377e-09,0.9999999916230561,0.9919935380843727,0.9999999956476868,0.995984172851928
0.144,34.40369932914085,0.4000000142433103,0.4,-3.009325320905833e-10,-7.634263429851051e-09,0.9999999916289046,0.991993538089151,0.999999995650542,0.9959841728556942
