Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.168,9.709791072023158,0.31644131133501835,0.40998964476041067,0.0030235077818473585,0.40998964476041067,0.9212423610982607,0.8895255667141482,0.9162430642583221,0.9006970969443242
1.17,9.81902264438812,0.3183720323715237,0.40983114427154704,0.0030448312304876004,0.40983114427154704,0.9212659111479882,0.8896308538501183,0.9163711012880534,0.9008219134563613
1.172,9.929013029752422,0.32030997167922115,0.40967246808910873,0.0030656637797424717,0.40967246808910873,0.9212893585572806,0.889736017095764,0.9164991276729598,0.9009466717654119
1.174,10.03974452595529,0.32225483600116045,0.409513636979793,0.003086003787248715,0.409513636979793,0.9213126806102765,0.8898410246590143,0.9166271120660319,0.9010713388501743
1.176,10.151199373033805,0.32420633149506384,0.40935467168728246,0.003105849684159511,0.40935467168728246,0.9213358549408248,0.8899458451876697,0.9167550234903847,0.9011958821066025
1.178,10.263359755871642,0.3261641637782214,0.40919559292934105,0.003125199975262708,0.40919559292934105,0.9213588595419246,0.8900504477788123,0.9168828313472906,0.9013202693568666
1.18,10.376207806851887,0.3281280379728333,0.4090364213949172,0.003144053239087859,0.4090364213949172,0.9213816727749046,0.8901548019879074,0.9170105054239526,0.9014444688580223
1.182,10.489725608513496,0.330097658751789,0.40887717774125515,0.0031624081280019695,0.40887717774125515,0.9214042733783421,0.8902588778375982,0.9171380159010204,0.9015684493103892
1.184,10.60389519621099,0.3320727303848609,0.4087178825910154,0.0031802633682938663,0.4087178825910154,0.921426640476715,0.8903626458261856,0.9172653333598452,0.9016921798656317
1.186,10.718698560776998,0.33405295678528957,0.4085585565294039,0.0031976177602470834,0.4085585565294039,0.9214487535887858,0.8904660769357983,0.9173924287894735,0.901815630134546
1.188,10.83411765118719,0.33603804155674905,0.4083992201013105,0.0032144701782011896,0.4083992201013105,0.9214705926357157,0.8905691426402471,0.9175192735933773,0.9019387701945499
1.19,10.950134377227236,0.33802768804066485,0.4082398938084575,0.0032308195706014704,0.4082398938084575,0.9214921379489062,0.8906718149125635,0.9176458395959225,0.902061570596874
1.192,11.066730612161326,0.3400215993638675,0.40808059810655856,0.003246664960036887,0.40808059810655856,0.9215133702775631,0.8907740662322212,0.9177720990485709,0.9021840023734528
1.194,11.183888195401849,0.3420194784865632,0.4079213534024885,0.003262005443266241,0.4079213534024885,0.9215342707959854,0.8908758695920403,0.9178980246358193,0.902306037043518
1.196,11.301588935179803,0.34402102825059455,0.4077621800514639,0.0032768401912324787,0.4077621800514639,0.9215548211105752,0.8909771985047729,0.9180235894808714,0.90242764661989
1.198,11.419814611215493,0.3460259514279756,0.4076030983542362,0.003291168449065069,0.4076030983542362,0.9215750032665632,0.8910780270093674,0.9181487671510462,0.9025488036149686
1.2,11.538546977389123,0.3480339507696787,0.4074441285542954,0.0033049895360704024,0.4074441285542954,0.9215947997544555,0.891178329676915,0.9182735316629175,0.9026694810464219
1.202,11.657767764410805,0.3500447290546479,0.407285290835088,0.003318302845710154,0.407285290835088,0.921614193516193,0.891278081616276,0.9183978574871909,0.9027896524425757
1.204,11.777458682489575,0.35205798913902153,0.40712660531724676,0.003331107845567566,0.40712660531724676,0.9216331679510273,0.8913772584793835,0.9185217195533124,0.9029092918475002
