Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXAC1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.622,7.711080178036917,0.4015892828185524,0.4,-1.859759265268307e-05,1.9808200221934513,1.0179547019583226,0.9545893446599253,0.9627296890309505,0.956998101952043
7.624,7.710404036316459,0.40157209643051184,0.4,-1.8965161294897708e-05,1.9808281558846625,1.017954246027573,0.9545884487772067,0.962728666689476,0.9569970860869546
7.626,7.709714735304839,0.40155470781136954,0.4,-1.9328656572388064e-05,1.9808365301628923,1.017953787316388,0.9545875439602919,0.9627276333978907,0.9569960596151749
7.628,7.709012422482138,0.40153712030297817,0.4,-1.9688032007715602e-05,1.9808451430736669,1.017953325898807,0.9545866303733044,0.9627265893478543,0.9569950227255625
7.63,7.708297246987456,0.40151933726950356,0.4,-2.004324191117541e-05,1.9808539926313666,1.0179528618490923,0.9545857081813082,0.9627255347322068,0.9569939756081093
7.632,7.707569359590473,0.40150136209682463,0.4,-2.0394241385864657e-05,1.980863076819599,1.017952395241724,0.9545847775502819,0.9627244697449366,0.9569929184539107
7.634,7.70682891266281,0.4014831981919319,0.4,-2.0740986332611758e-05,1.980872393591576,1.017951926151383,0.9545838386470898,0.9627233945811462,0.9569918514551312
7.636,7.7060760601492255,0.40146484898232354,0.4,-2.108343345476283e-05,1.980881940870496,1.017951454652945,0.9545828916394558,0.9627223094370201,0.9569907748049744
7.638,7.705310957538646,0.4014463179154001,0.4,-2.1421540262828432e-05,1.980891716549927,1.017950980821467,0.9545819366959344,0.9627212145097922,0.9569896886976494
7.64,7.70453376183502,0.40142760845785885,0.4,-2.1755265078986618e-05,1.9809017184941915,1.0179505047321773,0.9545809739858844,0.9627201099977113,0.9569885933283383
7.642,7.7037446315280205,0.40140872409508643,0.4,-2.208456704144468e-05,1.980911944538757,1.0179500264604646,0.9545800036794398,0.9627189961000088,0.9569874888931645
7.644,7.7029437265636,0.40138966833054723,0.4,-2.2409406108657558e-05,1.98092239249063,1.017949546081867,0.9545790259474838,0.9627178730168654,0.9569863755891603
7.646,7.702131208314373,0.40137044468517613,0.4,-2.2729743063404527e-05,1.9809330601287478,1.0179490636720618,0.9545780409616189,0.9627167409493773,0.9569852536142333
7.648,7.701307239549882,0.4013510566967648,0.4,-2.3045539516721745e-05,1.9809439452043789,1.0179485793068537,0.954577048894141,0.9627156000995234,0.9569841231671348
7.65,7.700471984406703,0.40133150791935174,0.4,-2.3356757911692073e-05,1.980955045441523,1.0179480930621634,0.9545760499180099,0.9627144506701307,0.9569829844474262
7.652,7.699625608358433,0.40131180192260696,0.4,-2.366336152709085e-05,1.9809663585373145,1.0179476050140197,0.9545750442068225,0.9627132928648421,0.9569818376554479
7.654,7.6987682781855336,0.40129194229121923,0.4,-2.396531448088894e-05,1.9809778821624282,1.0179471152385449,0.9545740319347837,0.9627121268880815,0.9569806829922837
7.656,7.697900161945067,0.4012719326242814,0.4,-2.4262581733611006e-05,1.980989613961489,1.0179466238119461,0.9545730132766799,0.9627109529450216,0.9569795206597311
7.658,7.697021428940299,0.4012517765346755,0.4,-2.45551290915504e-05,1.981001551553482,1.0179461308105042,0.9545719884078488,0.9627097712415483,0.956978350860266
7.66,7.696132249690201,0.40123147764845657,0.4,-2.48429232098392e-05,1.9810136925321673,1.0179456363105623,0.9545709575041534,0.9627085819842287,0.9569771737970111
7.662,7.695232795898837,0.4012110396042377,0.4,-2.512593159537562e-05,1.981026034466495,1.017945140388515,0.9545699207419522,0.9627073853802767,0.9569759896737022
7.664,7.694323240424646,0.4011904660525726,0.4,-2.5404122609605573e-05,1.9810385749010258,1.0179446431207981,0.9545688782980725,0.962706181637519,0.9569747986946563
7.666,7.693403757249635,0.40116976065534055,0.4,-2.5677465471161135e-05,1.98105131135635,1.0179441445838775,0.9545678303497807,0.9627049709643613,0.9569736010647371
7.668,7.692474521448475,0.4011489270851295,0.4,-2.5945930258353747e-05,1.9810642413295123,1.0179436448542372,0.954566777074755,0.9627037535697548,0.9569723969893229
7.67,7.691535709157506,0.4011279690246196,0.4,-2.62094879115245e-05,1.9810773622944382,1.0179431440083704,0.9545657186510579,0.9627025296631622,0.9569711866742739
7.672,7.690587497543666,0.4011068901659675,0.4,-2.646811023524917e-05,1.9810906717023589,1.0179426421227677,0.9545646552571061,0.962701299454524,0.9569699703258988
7.674,7.689630064773339,0.40108569421018986,0.4,-2.6721769900399432e-05,1.9811041669822445,1.017942139273905,0.9545635870716439,0.9627000631542241,0.9569687481509207
7.676,7.6886635899811395,0.4010643848665477,0.4,-2.697044044605984e-05,1.981117845541235,1.0179416355382354,0.9545625142737143,0.9626988209730565,0.9569675203564456
7.678,7.687688253238618,0.40104296585193233,0.4,-2.7214096281301526e-05,1.9811317047650758,1.0179411309921762,0.9545614370426311,0.9626975731221916,0.9569662871499295
7.68,7.686704235522915,0.40102144089024905,0.4,-2.7452712686811148e-05,1.9811457420185519,1.0179406257120982,0.9545603555579502,0.9626963198131415,0.9569650487391436
7.682,7.6857117186853525,0.4009998137118044,0.4,-2.768626581637686e-05,1.9811599546459286,1.017940119774316,0.954559269999442,0.9626950612577275,0.956963805332143
7.684,7.684710885419983,0.4009780880526931,0.4,-2.7914732698230048e-05,1.9811743399713897,1.017939613255077,0.9545581805470628,0.9626937976680449,0.9569625571372329
7.686,7.683701919232082,0.40095626765418385,0.4,-2.8138091236244848e-05,1.9811888952994827,1.0179391062305494,0.9545570873809269,0.9626925292564303,0.9569613043629362
7.688,7.68268500440661,0.40093435626210894,0.4,-2.8356320210993525e-05,1.9812036179155599,1.0179385987768124,0.9545559906812785,0.9626912562354273,0.9569600472179597
7.69,7.68166032597663,0.4009123576262554,0.4,-2.8569399280659507e-05,1.9812185050862265,1.0179380909698459,0.954554890628463,0.962689978817753,0.9569587859111623
7.692,7.6806280696917035,0.4008902754997519,0.4,-2.8777308981807434e-05,1.9812335540597872,1.0179375828855186,0.9545537874029003,0.9626886972162647,0.9569575206515216
7.694,7.679588421986255,0.4008681136384632,0.4,-2.898003073001162e-05,1.9812487620666956,1.0179370745995777,0.954552681185055,0.9626874116439256,0.9569562516481004
7.696,7.678541569947918,0.4008458758003828,0.4,-2.9177546820341772e-05,1.9812641263200055,1.017936566187639,0.9545515721554093,0.9626861223137715,0.9569549791100155
7.698,7.677487701285866,0.40082356574502714,0.4,-2.9369840427707292e-05,1.9812796440158245,1.0179360577251755,0.9545504604944363,0.9626848294388778,0.9569537032464038
7.7,7.67642700429914,0.4008011872328303,0.4,-2.955689560706014e-05,1.9812953123337653,1.017935549287506,0.9545493463825695,0.9626835332323255,0.9569524242663903
7.702,7.675359667844955,0.4007787440245445,0.4,-2.9738697293457135e-05,1.9813111284374059,1.0179350409497856,0.9545482300001762,0.9626822339071677,0.9569511423790543
7.704,7.674285881307026,0.40075623988063674,0.4,-2.9915231301981228e-05,1.9813270894747415,1.0179345327869953,0.9545471115275311,0.9626809316763971,0.9569498577933991
7.706,7.673205834563888,0.40073367856068987,0.4,-3.008648432752269e-05,1.9813431925786475,1.01793402487393,0.9545459911447861,0.9626796267529122,0.9569485707183177
7.708,7.672119717957227,0.400711063822807,0.4,-3.0252443944420648e-05,1.9813594348673367,1.0179335172851895,0.9545448690319445,0.9626783193494841,0.956947281362561
7.71,7.671027722260233,0.40068839942301454,0.4,-3.0413098605965537e-05,1.981375813444822,1.017933010095167,0.9545437453688318,0.9626770096787234,0.9569459899347053
7.712,7.669930038645961,0.40066568911466965,0.4,-3.056843764376235e-05,1.9813923254013766,1.0179325033780382,0.9545426203350704,0.9626756979530482,0.9569446966431209
7.714,7.668826858655734,0.4006429366478695,0.4,-3.0718451266956006e-05,1.981408967814,1.017931997207752,0.9545414941100495,0.9626743843846496,0.9569434016959393
7.716,7.667718374167563,0.40062014576886157,0.4,-3.086313056131836e-05,1.9814257377468822,1.01793149165802,0.9545403668728998,0.9626730691854606,0.9569421053010211
7.718,7.666604777364605,0.4005973202194574,0.4,-3.100246748819883e-05,1.9814426322518677,1.0179309868023043,0.9545392388024653,0.962671752567122,0.9569408076659246
