Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSAC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.672,10.413377192514654,0.4098922630829661,0.4,2.1283967154738735e-05,1.8640773153201913,0.9929888454391674,0.9390959818773981,0.9524387771366544,0.9440889140191505
5.674,10.414101783534171,0.40988783073606566,0.4,1.8971298089682168e-05,1.8640605526756346,0.9929932021779769,0.9390985836473907,0.9524404308536137,0.9440910348174275
5.676,10.414743143112839,0.40988189081731524,0.4,1.6660056902014204e-05,1.8640452786109467,0.9929975317073061,0.9391011148545075,0.9524419998734728,0.9440930729011094
5.678,10.415301328984716,0.40987444851961957,0.4,1.4350595076841066e-05,1.8640314892740881,0.9930018342496061,0.9391035758215998,0.9524434845416533,0.9440950286220616
5.68,10.415776411514587,0.4098655092518258,0.4,1.204326282792818e-05,1.8640191806734694,0.9930061100285206,0.9391059668793479,0.9524448852139642,0.9440969023419525
5.682,10.416168473651298,0.409855078637274,0.4,9.738409047533913e-06,1.8640083486900578,0.9930103592688466,0.9391082883661929,0.9524462022565217,0.9440986944321733
5.684,10.416477610879282,0.4098431625123171,0.4,7.436381256595991e-06,1.8639989890877273,0.9930145821964996,0.9391105406282687,0.9524474360456702,0.9441004052737622
5.686,10.416703931168298,0.40982976692481654,0.4,5.1375255552610115e-06,1.863991097521914,0.9930187790384796,0.9391127240193374,0.9524485869679039,0.9441020352573262
5.688,10.416847554921398,0.4098148981326066,0.4,2.8421865737841848e-06,1.8639846695466333,0.9930229500228412,0.9391148389007236,0.9524496554197885,0.9441035847829647
5.69,10.416908614921136,0.4097985626019347,0.4,5.507074237887804e-07,1.863979700619965,0.9930270953786633,0.9391168856412481,0.9524506418078814,0.944105054260193
5.692,10.41688725627402,0.4097807670058733,0.4,-1.7365703500957467e-06,1.8639761861080943,0.993031215336022,0.9391188646171663,0.952451546548653,0.9441064441078658
5.694,10.416783636353241,0.40976151822270573,0.4,-4.0193068182272595e-06,1.8639741212880292,0.9930353101259657,0.939120776212102,0.9524523700684076,0.9441077547540998
5.696,10.41659792473967,0.40974082333428463,0.4,-6.297163713549612e-06,1.8639735013491112,0.9930393799804904,0.9391226208169858,0.952453112803203,0.9441089866361985
5.698,10.41633030316116,0.4097186896243648,0.4,-8.569804478806178e-06,1.8639743213934459,0.9930434251325166,0.939124398829991,0.9524537751987718,0.9441101402005746
5.7,10.415980965430148,0.40969512457690926,0.4,-1.0836894313350628e-05,1.8639765764353822,0.9930474458158696,0.9391261106564713,0.9524543577104404,0.9441112159026739
5.702,10.415550117379569,0.4096701358743721,0.4,-1.309810021956442e-05,1.8639802614001686,0.9930514422652574,0.9391277567088983,0.9524548608030482,0.9441122142068982
5.704,10.415037976797135,0.40964373139595067,0.4,-1.5353091048855528e-05,1.8639853711219128,0.9930554147162537,0.9391293374067979,0.9524552849508663,0.9441131355865277
5.706,10.414444773357939,0.40961591921581825,0.4,-1.760153754724812e-05,1.8639919003409762,0.9930593634052782,0.9391308531766891,0.9524556306375165,0.9441139805236441
5.708,10.41377074855544,0.4095867076013281,0.4,-1.9843112400545753e-05,1.8639998437009118,0.9930632885695811,0.9391323044520204,0.9524558983558886,0.9441147495090527
5.71,10.413016155630807,0.40955610501119355,0.4,-2.207749027907774e-05,1.8640091957450762,0.9930671904472261,0.9391336916731081,0.9524560886080579,0.944115443042204
5.712,10.412181259500706,0.4095241200936446,0.4,-2.430434788200373e-05,1.8640199509130053,0.993071069277074,0.9391350152870716,0.9524562019052007,0.9441160616311136
5.714,10.411266336683443,0.4094907616845594,0.4,-2.6523363981186154e-05,1.8640321035366705,0.99307492529877,0.9391362757477727,0.9524562387675121,0.9441166057922866
5.716,10.410271675223587,0.40945603880557263,0.4,-2.8734219464613606e-05,1.8640456478366947,0.9930787587527274,0.9391374735157508,0.95245619972412,0.9441170760506342
