Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.702,9.73176355185366,0.4296070400989818,0.4,-0.002335422785706804,1.5461959497641236,1.0402769003988315,0.969613245013624,0.9735550591177584,0.9700480025476091
1.704,9.647570212363986,0.42785594524624193,0.4,-0.0023419166740284167,1.5430399075407912,1.0401432226926577,0.9694718765805537,0.973419193649061,0.9699038297681712
1.706,9.563150468348468,0.4261047205921337,0.4,-0.0023480008162742013,1.5399286504097967,1.0400083492501835,0.9693295064481432,0.9732825551931369,0.9697587539914364
1.708,9.47851907008202,0.4243536777663184,0.4,-0.0023536752570126706,1.5368622641171685,1.0398722885785112,0.9691861496240238,0.9731451607919731,0.9696127921537342
1.71,9.393690764926408,0.4226031270922956,0.4,-0.0023589401134653503,1.53384082898521,1.039735049545722,0.9690418214664104,0.9730070277568125,0.9694659615066348
1.712,9.308680294720423,0.4208533775275792,0.4,-0.002363795575187696,1.530864419842459,1.039596641380992,0.9688965376820398,0.9728681736654206,0.9693182796143929
1.714,9.223502393181832,0.41910473660454806,0.4,-0.0023682419037361437,1.5279331059564951,1.0394570736744395,0.968750314323848,0.9727286163591488,0.969169764351152
1.716,9.138171783321527,0.41735751037199703,0.4,-0.0023722794323214505,1.5250469509696356,1.0393163563767,0.9686031677883835,0.9725883739397926,0.9690204338979131
1.718,9.052703174870416,0.41561200333740067,0.4,-0.0023759085654484974,1.522206012837568,1.0391744997982337,0.9684551148129663,0.9724474647662498,0.9688703067392694
1.72,8.967111261719529,0.4138685184099135,0.4,-0.002379129778542722,1.5194103437709636,1.0390315146083664,0.9683061724725873,0.9723059074509802,0.9687194016599104
1.722,8.881410719373783,0.4121273568441284,0.4,-0.0023819436175633564,1.5166599901801097,1.0388874118340643,0.9681563581765585,0.9721637208562685,0.9685677377408972
1.724,8.795616202419936,0.4103888181846024,0.4,-0.0023843506986036523,1.5139549926225904,1.0387422028584448,0.9680056896649092,0.9720209240902932,0.9684153343557097
1.726,8.709742342009147,0.40865320021117857,0.4,-0.002386351707478274,1.5112953857540763,1.038595899419031,0.9678541850045397,0.9718775365030063,0.9682622111660762
1.728,8.62380374335462,0.4069207988851121,0.4,-0.0023879473992980526,1.5086811982822093,1.0384485136057395,0.9677018625851251,0.971733577681823,0.968108388117577
1.73,8.537814983244786,0.40519190829602675,0.4,-0.0023891385980322867,1.506112452923664,1.0383000578586243,0.9675487411147864,0.971589067447127,0.9679538854350365
1.732,8.451790607572459,0.4034668206097046,0.4,-0.0023899261960587917,1.5035891663643561,1.038150544965354,0.9673948396155165,0.9714440258475953,0.9677987236176989
1.734,8.365745128880413,0.40174582601674114,0.4,-0.0023903111537018932,1.5011113492228745,1.0379999880584523,0.9672401774183804,0.971298473155342,0.9676429234341974
1.736,8.279693023923796,0.4000292126820656,0.4,-0.00239029449875857,1.4986790060171105,1.0378484006122815,0.9670847741584809,0.9711524298608888,0.9674865059173151
1.738,8.193648731249825,0.398317266695353,0.4,-0.0023898773260129518,1.4962921351341276,1.0376957964397897,0.9669286497697025,0.9710059166679628,0.9673294923585456
1.74,8.107626648795156,0.39661027202232957,0.4,-0.002389060796739383,1.4939507288032776,1.0375421896890136,0.9667718244792326,0.9708589544881265,0.9671719043024558
1.742,8.02164113150135,0.39490851045699915,0.4,-0.002387846138194263,1.491654773072575,1.0373875948393485,0.9666143188018674,0.9707115644352445,0.9670137635408543
1.744,7.9357064889488305,0.39321226157478756,0.4,-0.0023862346430968836,1.4894042477883342,1.0372320266975836,0.966456153534105,0.9705637678197877,0.9668550921067719
1.746,7.849836983009732,0.39152180268663084,0.4,-0.0023842276690994747,1.4871991265780768,1.0370755003937102,0.9662973497480309,0.9704155861429826,0.966695912268255
1.748,7.764046825520005,0.38983740879400675,0.4,-0.0023818266382466882,1.485039376836717,1.0369180313765052,0.9661379287850026,0.9702670410908082,0.9665362465219801
1.75,7.678350175971177,0.3881593525449282,0.4,-0.0023790330364247382,1.482924959716013,1.0367596354088944,0.965977912249133,0.9701181545278432,0.9663761175866926
1.752,7.592761139222123,0.3864879041909053,0.4,-0.0023758484128004256,1.4808558301172954,1.0366003285631025,0.9658173220005861,0.9699689484909718,0.9662155483964736
1.754,7.507293763231211,0.38482333154488474,0.4,-0.002372274379250276,1.4788319366874492,1.0364401272155892,0.9656561801486805,0.9698194451829462,0.9660545620938411
1.756,7.421962036809175,0.3831658999401732,0.4,-0.0023683126097800195,1.4768532218181585,1.036279048041781,0.9654945090448127,0.9696696669658181,0.9658931820226903
1.758,7.336779887393048,0.38151587219035893,0.4,-0.002363964839934649,1.4749196216483922,1.0361171080105993,0.9653323312752043,0.9695196363542361,0.9657314317210762
1.76,7.251761178841513,0.37987350855023233,0.4,-0.0023592328661992826,1.4730310660701205,1.035954324378796,0.9651696696534761,0.9693693760086187,0.9655693349138474
1.762,7.166919709251975,0.378239066677711,0.4,-0.002354118545391078,1.4711874787372425,1.035790714685094,0.9650065472130561,0.9692189087282055,0.9654069155051316
1.764,7.082269208799683,0.37661280159678207,0.4,-0.0023486237940424223,1.4693887770777125,1.0356262967441419,0.96484298719943,0.9690682574439916,0.9652441975706827
1.766,6.997823337599211,0.3749949656614582,0.4,-0.002342750587775645,1.4676348723088353,1.0354610886402889,0.9646790130622321,0.9689174452115501,0.965081205350091
1.768,6.913595683588603,0.37338580852075887,0.4,-0.0023365009606694906,1.4659256694557148,1.0352951087211828,0.9645146484471939,0.9687664952037474,0.9649179632388647
