Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
6.272,27.615642481962656,0.37370985505338833,0.40134431244892965,-0.00044606528136171083,0.40134431244892965,1.0007705317935627,0.9926029529608992,1.0003554777841133,0.996459042538149
6.274,27.59970972364271,0.37346838998011406,0.40139129748609104,-0.000439076056149707,0.40139129748609104,1.000761419644248,0.9925987095065956,1.0003521263715267,0.996455168448314
6.276,27.584029853787357,0.37323256041491176,0.4014378522236403,-0.0004320161761715868,0.4014378522236403,1.0007522008735237,0.9925943716394461,1.0003487232748889,0.9964512229801988
6.278,27.56860538848023,0.3730023990241554,0.4014839687433445,-0.0004248871702010339,0.4014839687433445,1.000742877909689,0.9925899408843645,1.0003452696600785,0.9964472074995799
6.28,27.553438788591173,0.3727779372790077,0.4015296392292216,-0.000417690576842356,0.4015296392292216,1.0007334531888343,0.9925854187725605,1.0003417666932055,0.9964431233749435
6.282,27.538532459428236,0.37255920545242316,0.4015748559688267,-0.00041042794420444216,0.4015748559688267,1.0007239291539147,0.992580806840818,1.0003382155400615,0.9964389719768406
6.284,27.52388875040136,0.3723462326164081,0.4016196113545156,-0.0004031008295736862,0.4016196113545156,1.000714308253835,0.9925761066307828,1.0003346173655787,0.9964347546772527
6.286,27.509509954697883,0.372139046639542,0.4016638978846842,-0.00039571079908601125,0.4016638978846842,1.0007045929425429,0.9925713196882603,1.0003309733332981,0.9964304728489658
6.288,27.495398308969904,0.3719376741847587,0.40170770816498463,-0.0003882594273980148,0.40170770816498463,1.0006947856781334,0.9925664475625244,1.0003272846048494,0.9964261278649567
6.29,27.481555993033467,0.37174214070738626,0.4017510349095176,-0.00038074829735734435,0.4017510349095176,1.000684888921965,0.9925614918056359,1.000323552339435,0.9964217210977869
6.292,27.4679851295796,0.37155247045344125,0.40179387094200075,-0.00037317899967232175,0.40179387094200075,1.0006749051377828,0.9925564539717732,1.000319777693329,0.996417253919011
6.294,27.4546877838973,0.37136868645818505,0.401836209196913,-0.0003655531325809522,0.401836209196913,1.0006648367908568,0.9925513356165733,1.0003159618193858,0.9964127276985933
6.296,27.44166596360844,0.3711908105449322,0.4018780427206141,-0.0003578723015193361,0.4018780427206141,1.0006546863471317,0.9925461382964866,1.0003121058665552,0.9964081438043368
6.298,27.42892161841462,0.37101886332411516,0.4019193646724405,-0.00035013811878959394,0.4019193646724405,1.0006444562723864,0.9925408635681419,1.0003082109794137,0.9964035036013249
6.3,27.41645663985595,0.3708528641926032,0.4019601683257756,-0.0003423522032273191,0.4019601683257756,1.0006341490314088,0.9925355129877242,1.0003042782977027,0.996398808451374
6.302,27.40427286108185,0.3706928313332733,0.40200044706909605,-0.00033451617986869744,0.40200044706909605,1.0006237670871814,0.9925300881103666,1.0003003089558788,0.9963940597124981
6.304,27.392372056633825,0.3705387817148337,0.4020401944069928,-0.00032663167961730766,0.4020401944069928,1.0006133129000816,0.992524590489553,1.000296304082676,0.9963892587383866
6.306,27.380755942240246,0.37039073109189813,0.4020794039611667,-0.0003187003389107136,0.4020794039611667,1.000602788927094,0.9925190216765359,1.000292264800679,0.9963844068778954
6.308,27.36942617462311,0.37024869400530863,0.4021180694713995,-0.0003107237993868613,0.4021180694713995,1.000592197621039,0.9925133832197666,1.0002881922259075,0.996379505474549
6.31,27.35838435131686,0.37011268378270634,0.4021561847964991,-0.0003027037075504193,0.4021561847964991,1.0005815414298123,0.9925076766643397,1.000284087467414,0.9963745558660574
6.312,27.34763201049916,0.3699827125393503,0.4021937439152195,-0.0002946417144390745,0.4021937439152195,1.0005708227956416,0.9925019035514508,1.0002799516268914,0.996369559383845
6.314,27.337170630833754,0.36985879117918036,0.4022307409271548,-0.0002865394752898946,0.4022307409271548,1.0005600441543565,0.9924960654178699,1.0002757857982951,0.9963645173525955
6.316,27.327001631325235,0.36974092939612435,0.40226717005360796,-0.00027839864920576647,0.40226717005360796,1.000549207934673,0.9924901637954266,1.0002715910674744,0.9963594310898061
6.318,27.317126371185932,0.36962913567564754,0.4023030256384335,-0.00027022089882205026,0.4023030256384335,1.0005383165574964,0.9924842002105122,1.0002673685118197,0.9963543019053601
6.32,27.30754614971469,0.369523417296544,0.40233830214885424,-0.00026200788997345883,0.40233830214885424,1.0005273724352337,0.9924781761835957,1.0002631191999198,0.9963491311011109
6.322,27.298262206187733,0.36942378033296497,0.4023729941762519,-0.0002537612913612719,0.4023729941762519,1.000516377971127,0.9924720932287526,1.0002588441912315,0.9963439199704791
6.324,27.28927571976142,0.36933022965668844,0.40240709643693184,-0.00024548277422089317,0.40240709643693184,1.0005053355586009,0.9924659528532133,1.0002545445357638,0.9963386697980675
6.326,27.280587809386994,0.3692427689396208,0.40244060377286156,-0.0002371740119898896,0.40244060377286156,1.0004942475806242,0.9924597565569211,1.0002502212737752,0.9963333818592862
6.328,27.27219953373728,0.3691614006565359,0.40247351115238267,-0.00022883667997651886,0.40247351115238267,1.0004831164090915,0.992453505832109,1.0002458754354788,0.9963280574199944
6.33,27.26411189114531,0.36908612608804564,0.4025058136708966,-0.00022047245502885475,0.4025058136708966,1.000471944404217,0.9924472021628916,1.0002415080407683,0.9963226977361572
6.332,27.256325819554814,0.3690169453238004,0.4025375065515241,-0.0002120830152045158,0.4025375065515241,1.0004607339139462,0.9924408470248693,1.0002371200989495,0.9963173040535139
6.334,27.24884219648262,0.36895385726592117,0.40256858514573773,-0.00020367003944113531,0.40256858514573773,1.0004494872733876,0.9924344418847519,1.0002327126084893,0.9963118776072641
6.336,27.241661838992886,0.36889685963265495,0.4025990449339685,-0.00019523520722757674,0.4025990449339685,1.000438206804255,0.9924279881999954,1.0002282865567766,0.9963064196217672
6.338,27.234785503683195,0.368845948962259,0.4026288815261849,-0.00018678019827600282,0.4026288815261849,1.0004268948143307,0.9924214874184538,1.0002238429198944,0.9963009313102547
6.34,27.228213886682358,0.3688011206171067,0.4026580906624467,-0.00017830669219480113,0.4026580906624467,1.000415553596945,0.9924149409780486,1.0002193826624077,0.9962954138745609
6.342,27.221947623660046,0.36876236878801444,0.40268666821343024,-0.0001698163681625028,0.40268666821343024,1.000404185430472,0.9924083503064516,1.0002149067371628,0.9962898685048641
6.344,27.215987289848126,0.3687296864987894,0.40271461018092874,-0.00016131090460269702,0.40271461018092874,1.0003927925778424,0.9924017168207847,1.0002104160851002,0.9962842963794462
6.346,27.210333400073665,0.36870306561099225,0.4027419126983246,-0.00015279197886004656,0.4027419126983246,1.0003813772860735,0.992395041927335,1.0002059116350792,0.9962786986644635
6.348,27.20498640880358,0.36868249682891774,0.40276857203103533,-0.00014426126687740575,0.40276857203103533,1.0003699417858172,0.992388327021284,1.0002013943037174,0.9962730765137342
6.35,27.199946710200916,0.36866796970478655,0.4027945845769329,-0.00013572044287417576,0.4027945845769329,1.0003584882909222,0.9923815734864543,1.0001968649952409,0.9962674310685398
6.352,27.195214638192635,0.36865947264414933,0.40281994686673583,-0.00012717117902589684,0.40281994686673583,1.0003470189980177,0.9923747826950708,1.0001923246013498,0.9962617634574409
