Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.522,28.506286067956992,0.3933716486088215,0.39961842762333777,-8.522026456281895e-06,0.39961842762333777,0.9999290012799891,0.9919930801343987,0.9999883119152797,0.995976373920669
8.524,28.50600738603752,0.3933831890566081,0.39962046211884944,-6.9607244665887156e-06,0.39962046211884944,0.9999270863166485,0.9919918678859155,0.9999875252215115,0.9959753776811062
8.526,28.505784863817617,0.3933957790073941,0.3996224877708925,-5.402087199884865e-06,0.3996224877708925,0.9999251712914196,0.9919906491689487,0.9999867360875793,0.9959743772698989
8.528,28.505618400616303,0.3934094136579542,0.3996245042703477,-3.8463784063083996e-06,0.3996245042703477,0.9999232565583083,0.9919894242213824,0.9999859446625229,0.9959733728790893
8.53,28.505507886278547,0.3934240880359885,0.3996265113104407,-2.2938606647132524e-06,0.3996265113104407,0.9999213424698626,0.9919881932810843,0.9999851510950103,0.9959723647004725
8.532,28.50545320121821,0.39343979700143067,0.39962850858678867,-7.447953400858496e-07,0.39962850858678867,0.9999194293771192,0.991986956585872,0.9999843555333181,0.9959713529255698
8.534,28.505454216462475,0.3934565352477815,0.3996304957974479,8.00557458703146e-07,0.3996304957974479,0.9999175176295523,0.9919857143734774,0.9999835581253123,0.9959703377456026
8.536,28.505510793697876,0.3934742973034656,0.3996324726429599,2.3419389208306836e-06,0.3996324726429599,0.9999156075750224,0.9919844668815123,0.9999827590184287,0.9959693193514658
8.538,28.505622785317723,0.393493077533215,0.39963443882639693,3.879091575118006e-06,0.39963443882639693,0.9999136995597269,0.9919832143474346,0.9999819583596544,0.9959682979337017
8.54,28.505790034471108,0.3935128701394766,0.39963639405340756,5.411759331271829e-06,0.39963639405340756,0.9999117939281491,0.9919819570085141,0.9999811562955088,0.9959672736824745
8.542,28.506012375113336,0.39353366916384336,0.3996383380322613,6.939687520798204e-06,0.3996383380322613,0.9999098910230116,0.9919806951018003,0.9999803529720267,0.9959662467875454
8.544,28.50628963205785,0.3935554684885119,0.3996402704738924,8.462622937542312e-06,0.3996402704738924,0.9999079911852263,0.9919794288640885,0.9999795485347394,0.995965217438249
8.546,28.506621621029602,0.39357826183776035,0.3996421910919439,9.980313877881293e-06,0.3996421910919439,0.9999060947538482,0.991978158531888,0.9999787431286578,0.9959641858234665
8.548,28.507008148719844,0.39360204277945254,0.39964409960280994,1.149251018055143e-05,0.39964409960280994,0.9999042020660285,0.9919768843413896,0.999977936898255,0.9959631521316038
8.55,28.507449012842397,0.3936268047265633,0.3996459957256789,1.2998963266090976e-05,0.3996459957256789,0.9999023134569687,0.9919756065284348,0.9999771299874507,0.9959621165505678
8.552,28.50794400219126,0.3936525409387279,0.39964787918257444,1.4499426175917481e-05,0.39964787918257444,0.9999004292598758,0.9919743253284832,0.9999763225395927,0.9959610792677416
8.554,28.508492896699686,0.3936792445238124,0.39964974969839717,1.5993653611021525e-05,0.39964974969839717,0.9998985498059179,0.991973040976583,0.9999755146974433,0.9959600404699641
8.556,28.509095467500625,0.3937069084395082,0.399651607000965,1.748140197025792e-05,0.399651607000965,0.99989667542418,0.99197175370734,0.9999747066031619,0.9959590003435056
8.558,28.509751476988498,0.39373552549494406,0.39965345082105325,1.8962429388262243e-05,0.39965345082105325,0.9998948064416218,0.9919704637548867,0.9999738983982899,0.9959579590740464
8.56,28.510460678882392,0.39376508835232515,0.39965528089243374,2.0436495772946986e-05,0.39965528089243374,0.9998929431830343,0.9919691713528541,0.9999730902237359,0.9959569168466547
8.562,28.511222818290545,0.39379558952858895,0.399657096951914,2.190336284260556e-05,0.399657096951914,0.9998910859710002,0.9919678767343411,0.999972282219761,0.9959558738457662
