Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.39,35.16053437724664,0.4036951189085751,0.3999407550479165,-7.599049749438299e-05,0.3999407550479165,0.9970560341058707,0.990213028730614,0.9988201485548274,0.9945050824078377
7.392,35.157783140299586,0.4036400343925675,0.3999442951275599,-7.685370325471183e-05,0.3999442951275599,0.9970601518516401,0.9902158608266642,0.9988219484951268,0.9945073848327758
7.394,35.1550010765501,0.40358453944361433,0.39994785524724596,-7.770308108171487e-05,0.39994785524724596,0.9970642773772747,0.9902187001639294,0.9988237525522328,0.9945096928287618
7.396,35.15218868557533,0.40352864452197046,0.3999514347530802,-7.853853299032761e-05,0.3999514347530802,0.9970684102853338,0.9902215464297245,0.9988255605329092,0.9945120061452218
7.398,35.14934647043293,0.4034723601215491,0.3999550329900179,-7.935996360543112e-05,0.3999550329900179,0.9970725501782278,0.9902243993111667,0.9988273722438791,0.9945143245314751
7.4,35.14647493756697,0.40341569676808753,0.3999586493019757,-8.016728016951501e-05,0.3999586493019757,0.9970766966582948,0.9902272584952359,0.9988291874918631,0.9945166477367845
7.402,35.143574596713556,0.40335866501730944,0.3999622830319438,-8.096039254988275e-05,0.3999622830319438,0.9970808493278757,0.9902301236688356,0.9988310060836185,0.9945189755104046
7.404,35.14064596080623,0.40330127545309064,0.39996593352209664,-8.173921324540455e-05,0.39996593352209664,0.9970850077893909,0.9902329945188536,0.9988328278259773,0.9945213076016317
7.406,35.13768954588111,0.4032435386856234,0.3999696001139049,-8.250365739281143e-05,0.3999696001139049,0.9970891716454142,0.9902358707322224,0.9988346525258839,0.9945236437598526
7.408,35.13470587098182,0.4031854653495826,0.39997328214824635,-8.325364277253619e-05,0.39997328214824635,0.9970933404987478,0.9902387519959779,0.9988364799904337,0.9945259837345926
7.41,35.13169545806421,0.4031270661022941,0.3999769789655163,-8.398908981409747e-05,0.3999769789655163,0.9970975139524969,0.9902416379973203,0.9988383100269105,0.9945283272755642
7.412,35.128658831900914,0.40306835162190374,0.39998068990573876,-8.470992160103285e-05,0.39998068990573876,0.9971016916101437,0.9902445284236724,0.9988401424428236,0.9945306741327147
7.414,35.12559651998574,0.40300933260554694,0.39998441430867626,-8.541606387537497e-05,0.39998441430867626,0.9971058730756204,0.9902474229627379,0.9988419770459447,0.9945330240562733
