Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.622,-6.212279108789093,0.46208284621070805,0.005596848490385075,0.9635801037670414,0.9222096664011075,0.9422678192258914,0.9306817375154814
4.624,-6.0109833565651165,0.4666258385748078,0.005586122662587084,0.9635498257292247,0.9223332278309111,0.9424583483139848,0.9308535165288061
4.626,-5.810087355452736,0.4711609916961297,0.005574640313046266,0.9635168915717192,0.9224530944664588,0.94264559886424,0.9310216947791051
4.628,-5.609618316024888,0.475687613660068,0.005562402805981411,0.9634813208963248,0.9225692715235001,0.9428295644320451,0.9311862704304734
4.63,-5.409603397668017,0.4802050139980936,0.005549411620812522,0.9634431347533662,0.9226817660562893,0.9430102401317988,0.9313472433899244
4.632,-5.210069704439721,0.4847125038765961,0.005535668351904064,0.9634023556312138,0.9227905869451611,0.9431876226270887,0.9315046152959412
4.634,-5.011044280935662,0.4892093962843041,0.005521174708276829,0.9633590074449551,0.9228957448830953,0.943361710120027,0.9316583895060848
4.636,-4.81255410816795,0.49369500621811857,0.005505932513288728,0.9633131155242188,0.9229972523612748,0.9435325023397503,0.931808571083663
4.638,-4.614626099454678,0.49816865086725376,0.005489943704284689,0.9632647066001598,0.9230951236536542,0.9437000005300942,0.9319551667834735
4.64,-4.417287096323509,0.5026296497955108,0.00547321033221608,0.9632138087916116,0.9231893748005413,0.9438642074364522,0.9320981850366288
4.642,-4.220563864428972,0.5070773251215805,0.005455734561229875,0.9631604515904116,0.9232800235912069,0.9440251272918248,0.9322376359344745
4.644,-4.024483089485611,0.5115110016972222,0.005437518668227996,0.963104665845912,0.9233670895455295,0.9441827658020738,0.9323735312116094
4.646,-3.829071373216658,0.5159300072832238,0.005418565042397055,0.9630464837486792,0.9234505938946922,0.9443371301303901,0.9325058842280239
4.648,-3.634355229321038,0.5203336727229793,0.0053988761847090505,0.9629859388133942,0.9235305595609374,0.944488228880985,0.932634709950364
4.65,-3.4403610794583384,0.5247213321135895,0.00537845470739329,0.9629230658609644,0.923607011136399,0.9446360720820215,0.9327600249323361
4.652,-3.247115249253822,0.5290923229743553,0.005357303333380064,0.9628579009998548,0.9236799748610186,0.9447806711677906,0.9328818472942658
4.654,-3.054643964323108,0.5334459864125656,0.005335424895716368,0.9627904816066493,0.9237494785995659,0.9449220389601521,0.9330001967018228
4.656,-2.8629733463192415,0.5377816672864455,0.005312822336954325,0.962720846305857,0.9238155518177742,0.9450601896492498,0.9331150943439298
4.658,-2.6721294090017538,0.5420987143651789,0.005289498708512631,0.9626490349489712,0.9238782255576071,0.9451951387735135,0.933226562909864
4.66,-2.4821380543296914,0.5463964804858839,0.005265457170011646,0.9625750885927958,0.9239375324116715,0.9453269031989644,0.9333346265655744
4.662,-2.2930250685782116,0.5506743227074702,0.00524070098858248,0.9624990494770508,0.9239935064967957,0.945455501097839,0.9334393109292239
4.664,-2.104816118481347,0.5549316024612512,0.005215233538150801,0.9624209610012727,0.9240461834267848,0.945580951926541,0.933540643045976
4.666,-1.917536747400501,0.5591676856982432,0.005189058298695764,0.9623408677010189,0.924095600284375,0.9457032764029427,0.9336386513620409
4.668,-1.731212371520557,0.5633819430330499,0.005162178855484728,0.9622588152233973,0.9241417955924023,0.9458224964830486,0.9337333656980016
4.67,-1.545868276073138,0.5675737498842769,0.005134598898284178,0.9621748503019285,0.9241848092842029,0.9459386353370367,0.9338248172214321
4.672,-1.3615296115895188,0.5717424866113611,0.005106322220547646,0.9620890207307611,0.9242246826732682,0.9460517173246945,0.9339130384188299
4.674,-1.1782213901826866,0.5758875386477772,0.00507735271858107,0.9620013753382542,0.9242614584221666,0.9461617679702686,0.9339980630668807
4.676,-0.9959684818603296,0.5800082966305266,0.005047694390686323,0.9619119639599423,0.9242951805107591,0.9462688139367395,0.934079926203071
4.678,-0.8147956108682347,0.584104156525876,0.005017351336283355,0.9618208374108999,0.924325894203723,0.9463728829995447,0.9341586640956725
4.68,-0.6347273520664717,0.5881745197512542,0.004986327755011821,0.9617280474575234,0.9243536460174079,0.9464740040197656,0.9342343142131134
4.682,-0.45578812733779617,0.5922187932932774,0.004954627945812635,0.9616336467887452,0.9243784836860398,0.9465722069167929,0.934306915192758
4.684,-0.27800220202994336,0.5962363898218406,0.00492225630599027,0.9615376889867003,0.9244004561273019,0.9466675226404943,0.934376506809116
4.686,-0.10139368143122618,0.60022672780025,0.004889217330256224,0.9614402284968621,0.9244196134073058,0.9467599831428999,0.9344431299414994
4.688,0.07401349271831373,0.604189231591334,0.004855515609754609,0.9613413205976651,0.9244360067049804,0.9468496213494221,0.9345068265411505
4.69,0.24819554568083482,0.6081233315595178,0.0048211558310703095,0.9612410213696335,0.9244496882758964,0.9469364711296339,0.9345676395978584
4.692,0.42112887313815117,0.6120284641688186,0.00478614277522055,0.9611393876640368,0.9244607114155532,0.9470205672676191,0.9346256131060886
4.694,0.5927900445733656,0.6159040720767606,0.0047504813166303235,0.9610364770710864,0.9244691304221473,0.9471019454319183,0.9346807920306466
4.696,0.7631558066145695,0.6197496042241621,0.004714176422092662,0.9609323478876982,0.9244750005588461,0.9471806421450881,0.934733222271893
4.698,0.9322030863413074,0.6235645159208046,0.00467723314971419,0.9608270590848378,0.9244783780155922,0.9472566947528913,0.9347829506305395
4.7,1.0999089945523788,0.6273482689269558,0.004639656647846851,0.9607206702744682,0.9244793198704572,0.9473301413931421,0.9348300247720394
4.702,1.2662508289956869,0.6311003315307735,0.004601452154006213,0.9606132416761227,0.9244778840505743,0.9474010209642227,0.9348744931906027
4.704,1.4312060775581723,0.6348201786215515,0.0045626249937773975,0.9605048340831184,0.9244741292926698,0.9474693730932923,0.9349164051728518
4.706,1.594752421416592,0.6385072917588465,0.004523180579709035,0.9603955088284373,0.9244681151032171,0.94753523810421,0.9349558107611443
4.708,1.7568677381478377,0.6421611592374771,0.00448312441019615,0.9602853277502897,0.9244599017182404,0.947598656985189,0.9349927607165835
4.71,1.917530104799573,0.6457812761484307,0.004442462068352384,0.9601743531573853,0.9244495500627898,0.9476596713562047,0.9350273064817405
4.712,2.0767178009193685,0.6493671444356772,0.004401199220872574,0.9600626477939294,0.924437121710113,0.9477183234361765,0.9350595001431091
4.714,2.234409311543153,0.6529182729489291,0.004359341616886106,0.959950274804368,0.9244226788405485,0.9477746560099424,0.9350893943933192
4.716,2.3905833301418125,0.6564341774923683,0.00431689508680191,0.9598372976979027,0.9244062842001664,0.9478287123950494,0.9351170424931285
4.718,2.5452187615267623,0.6599143808693957,0.004273865541145491,0.9597237803127939,0.9243880010591753,0.9478805364083762,0.9351424982332173
4.72,2.698294724712826,0.6633584129234094,0.0042302589693890115,0.9596097867804785,0.9243678931701306,0.9479301723326126,0.9351658158958083
4.722,2.8497905557392924,0.6667658105746865,0.004186081438774793,0.959495381489519,0.9243460247259584,0.9479776648826133,0.9351870502161367
4.724,2.9996858104481117,0.6701361178533887,0.0041413390931331106,0.9593806290494087,0.9243224603178274,0.9480230591716479,0.9352062563437902
4.726,3.1479602672201006,0.6734688859287775,0.004096038151694608,0.9592655942542531,0.9242972648928887,0.948066400677566,0.9352234898039444
4.728,3.2945939296676467,0.676763673134659,0.0040501849078983555,0.9591503420463486,0.9242705037119129,0.9481077352088988,0.9352388064585163
4.73,3.4395670292848246,0.6800200449911429,0.004003785728195852,0.9590349374796823,0.9242422423068452,0.9481471088709185,0.9352522624672569
4.732,3.582860028054011,0.6832375742227664,0.003956847050851831,0.9589194456833716,0.9242125464383054,0.9481845680316701,0.9352639142488083
4.734,3.7244536210099137,0.6864158407730686,0.003909375384742135,0.958803931825068,0.9241814820530583,0.9482201592880047,0.9352738184417467
4.736,3.86432873875965,0.689554431815663,0.003861377308149664,0.9586884610743432,0.9241491152414772,0.948253929431625,0.9352820318656331
