Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
2.96,0.10257631165682407,0.9722032488031619,0.9820987831987059,0.9930575831669223,0.9926705107397159,0.9875038263344438
2.98,0.10259064376678324,0.9726201286716343,0.9823498542968468,0.993235292899963,0.9928859597485119,0.9877196747360195
3.0,0.10262322731824748,0.9732086897798915,0.9827053375771215,0.9934881183940487,0.9931923357434533,0.9880260040613934
3.02,0.10267218380772959,0.9739602979819351,0.9831591321233468,0.9938114303878101,0.9935841376441441,0.9884173795806328
3.04,0.10273531501922653,0.9748625574894988,0.9837027236907573,0.9941989522002209,0.9940538239779454,0.9888863317441006
3.06,0.10281056650083749,0.9759052961756656,0.9843287765260125,0.9946451172870351,0.9945947898848834,0.9894263252582189
3.08,0.10289549748323906,0.9770737483063706,0.9850271187217415,0.9951424451536266,0.9951980462275066,0.9900284475151092
3.1,0.10298779542693322,0.9783544102511603,0.9857882725855208,0.9956838729238732,0.9958551573822448,0.9906843357048027
3.12,0.10308506716123346,0.9797325916069426,0.9866020409929068,0.9962618345267547,0.9965570728569216,0.9913850128090576
3.14,0.1031847400766254,0.9811911775257459,0.9874568140807667,0.9968678155316519,0.9972935585120453,0.9921203207792613
3.16,0.10328441460828663,0.9827139136068687,0.9883415904236466,0.9974937114076546,0.9980548957754108,0.9928806108579539
3.18,0.10338147846077382,0.9842816073669789,0.98924375873673,0.9981303587981214,0.9988300304353538,0.9936549021061948
3.2,0.10347348205910707,0.9858754686939053,0.9901511510219261,0.9987689367115327,0.9996083130301613,0.9944326120091476
3.22,0.10355795123200214,0.9874751092011487,0.9910509129745706,0.9994002168836356,1.0003785552869917,0.9952026174406495
3.24,0.10363254909884471,0.9890600378380309,0.9919304521264827,1.0000152241903346,1.0011298415557883,0.9959540622479904
3.26,0.10369514652507748,0.9906102119857815,0.9927778196001578,1.000605510516682,1.00185186058314,0.9966766872928319
3.28,0.10374382144617555,0.9921056665729339,0.9935815421569416,1.0011630576619812,1.0025347752383507,0.9973606996211718
3.3,0.10377698315647545,0.9935282630540759,0.9943316920864322,1.0016810086134347,1.0031701266706845,0.9979976751754601
3.32,0.10379347183138168,0.99486179676099,0.9950199838417667,1.002153743654044,1.0037509260785262,0.9985806461606122
3.34,0.10379243985853365,0.9960917460936243,0.9956395876685715,1.002576760690431,1.0042714976012956,0.9991039491148543
3.36,0.10377358225803943,0.9972071422251452,0.9961862432506002,1.002947416185831,1.00472841139264,0.9995641513607992
3.38,0.10373709332647531,0.9982004133438995,0.996658099989196,1.0032648090888658,1.005120343269085,0.9999599121162736
3.4,0.10368333102943778,0.9990649580520413,0.9970541214582924,1.003528693143526,1.0054467214193363,1.0002906389467356
3.42,0.10361347914265694,0.9998010148934499,0.9973775935197569,1.0037417980234373,1.0057106550293435,1.000559398454876
3.44,0.10352847791597357,1.0004068320464004,0.9976305588132592,1.0039060698516855,1.0059142396109975,1.00076825065961
3.46,0.10342999643531173,1.0008875363419545,0.9978191227225949,1.0040261877111614,1.006062988917536,1.0009226552140311
