Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.858,34.135188865514685,0.37945235119749393,0.4,-0.0001536041991609173,0.9963176123614694,0.9899206774018549,0.9985817054381437,0.9942331111515738
5.86,34.12974582813673,0.37942270740115547,0.4,-0.00014878568698792837,0.9963199149025422,0.9899222086293666,0.9985826643329836,0.9942343470522927
5.862,34.124476369146784,0.3793963495950376,0.4,-0.00014396108343437384,0.9963221149933639,0.9899236611080267,0.9985835775018039,0.9942355217188681
5.864,34.119380694013294,0.37937327189392117,0.4,-0.0001391311561063772,0.9963242132414469,0.9899250352479719,0.9985844452109495,0.9942366354883824
5.866,34.11445898059764,0.37935346791485847,0.4,-0.0001342966711051123,0.9963262102626629,0.9899263314649428,0.9985852677288115,0.9942376887015062
5.868,34.10971137921036,0.3793369307797873,0.4,-0.00012945839291096035,0.9963281066810815,0.9899275501801825,0.9985860453257693,0.9942386817024208
5.87,34.10513801267163,0.37932365311821475,0.4,-0.00012461708426830928,0.9963299031288149,0.9899286918203407,0.9985867782741354,0.9942396148387442
5.872,34.10073897637579,0.37931362706997196,0.4,-0.00011977350607097776,0.9963316002458616,0.9899297568173799,0.9985874668481022,0.9942404884614573
5.874,34.09651433836,0.3793068442880403,0.4,-0.00011492841724832341,0.996333198679956,0.9899307456084834,0.9985881113236919,0.9942413029248361
5.876,34.09246413937706,0.3793032959414468,0.4,-0.00011008257465201717,0.9963346990864193,0.9899316586359667,0.9985887119787086,0.9942420585863844
5.878,34.088588392972156,0.3793029727182279,0.4,-0.0001052367329435256,0.9963361021280124,0.9899324963471926,0.9985892690926919,0.9942427558067691
5.88,34.08488708556379,0.37930586482846224,0.4,-0.00010039164448228263,0.9963374084747936,0.9899332591944869,0.9985897829468747,0.9942433949497597
5.882,34.081360176528634,0.3793119620073697,0.4,-9.554805921460964e-05,0.9963386188039756,0.9899339476350577,0.9985902538241411,0.9942439763821674
5.884,34.07800759829036,0.37932125351847795,0.4,-9.070672456336492e-05,0.99633973379979,0.9899345621309172,0.9985906820089883,0.9942445004737905
5.886,34.074829256412514,0.37933372815685373,0.4,-8.586838531836378e-05,0.9963407541533517,0.9899351031488078,0.9985910677874903,0.9942449675973598
5.888,34.0718250296952,0.3793493742523992,0.4,-8.103378352754996e-05,0.9963416805625239,0.9899355711601269,0.9985914114472638,0.9942453781284859
5.89,34.0689947702758,0.3793681796732131,0.4,-7.62036583889763e-05,0.9963425137317907,0.9899359666408583,0.9985917132774359,0.9942457324456119
5.892,34.06633830373347,0.37939013182901526,0.4,-7.137874614357526e-05,0.9963432543721293,0.9899362900715033,0.9985919735686153,0.994246030929966
5.894,34.0638554291975,0.3794152176746317,0.4,-6.655977996875976e-05,0.9963439032008854,0.9899365419370164,0.9985921926128641,0.9942462739655171
5.896,34.061545919459554,0.3794434237135434,0.4,-6.17474898728339e-05,0.9963444609416517,0.989936722726742,0.9985923707036732,0.994246461938934
5.898,34.05940952108958,0.37947473600149495,0.4,-5.694260259027119e-05,0.9963449283241488,0.9899368329343537,0.9985925081359386,0.9942465952395445
5.9,34.05744595455559,0.3795091401501622,0.4,-5.214584147783988e-05,0.9963453060841081,0.9899368730577961,0.9985926052059404,0.9942466742592994
5.902,34.055654914347095,0.37954662133088146,0.4,-4.735792641161469e-05,0.9963455949631603,0.9899368435992306,0.9985926622113243,0.9942466993927376
5.904,34.05403606910225,0.37958716427843453,0.4,-4.2579573684854436e-05,0.9963457957087215,0.9899367450649802,0.9985926794510838,0.9942466710369524
5.906,34.05258906173868,0.37963075329489115,0.4,-3.781149590680197e-05,0.9963459090738865,0.9899365779654797,0.9985926572255465,0.9942465895915628
5.908,34.05131350958786,0.3796773722535094,0.4,-3.305440190238507e-05,0.9963459358173224,0.9899363428152266,0.9985925958363594,0.9942464554586831
5.91,34.0502090045332,0.37972700460269065,0.4,-2.8308996612856854e-05,0.9963458767031653,0.9899360401327342,0.9985924955864793,0.994246269042899
5.912,34.04927511315162,0.37977963336998927,0.4,-2.357598099735508e-05,0.9963457325009186,0.9899356704404872,0.9985923567801618,0.9942460307512412
5.914,34.04851137685863,0.37983524116617645,0.4,-1.8856051935434554e-05,0.9963455039853562,0.9899352342648999,0.9985921797229554,0.9942457409931654
5.916,34.04791731205697,0.37989381018935564,0.4,-1.4149902130551749e-05,0.9963451919364251,0.9899347321362756,0.9985919647216958,0.9942454001805309
5.918,34.047492410288655,0.379955322229132,0.4,-9.458220014538648e-06,0.9963447971391521,0.9899341645887677,0.9985917120844995,0.9942450087275818
5.92,34.04723613839046,0.38001975867083193,0.4,-4.7816896530445895e-06,0.9963443203835537,0.9899335321603445,0.9985914221207649,0.9942445670509331
5.922,34.04714793865281,0.3800871004997721,0.4,-1.2099065199933652e-07,0.9963437624645456,0.989932835392754,0.9985910951411692,0.9942440755695534
5.924,34.04722722898196,0.38015732830557863,0.4,4.523201934924086e-06,0.9963431241818567,0.9899320748314914,0.9985907314576699,0.9942435347047535
5.926,34.04747340306556,0.38023042228655474,0.4,9.150217697811149e-06,0.9963424063399461,0.989931251025769,0.9985903313835082,0.9942429448801754
5.928,34.04788583054144,0.3803063622540954,0.4,1.3759390960993507e-05,0.9963416097479183,0.9899303645284862,0.9985898952332108,0.9942423065217824
5.93,34.04846385716967,0.38038512763714843,0.4,1.835006087247078e-05,0.9963407352194457,0.9899294158962031,0.9985894233225983,0.9942416200578519
5.932,34.04920680500781,0.38046669748672046,0.4,2.2921571492289018e-05,0.9963397835726892,0.989928405689114,0.9985889159687884,0.9942408859189685
5.934,34.0501139725893,0.3805510504804307,0.4,2.7473271879840137e-05,0.9963387556302231,0.9899273344710239,0.9985883734902068,0.9942401045380196
5.936,34.051184635104995,0.38063816492710384,0.4,3.2004516180105414e-05,0.996337652218961,0.9899262028093254,0.9985877962065954,0.9942392763501918
5.938,34.05241804458781,0.3807280187714089,0.4,3.651466370879174e-05,0.9963364741700838,0.9899250112749782,0.9985871844390225,0.9942384017929695
5.94,34.053813430100334,0.3808205895985395,0.4,4.1003079036383876e-05,0.9963352223189696,0.9899237604424882,0.9985865385098954,0.9942374813061335
5.942,34.055369997925546,0.3809158546389338,0.4,4.546913207107852e-05,0.9963338975051266,0.9899224508898904,0.9985858587429725,0.9942365153317619
5.944,34.05708693176042,0.38101379077303565,0.4,4.9912198140623245e-05,0.9963325005721247,0.9899210831987303,0.9985851454633774,0.9942355043142321
5.946,34.0589633929125,0.381114374536094,0.4,5.4331658073010756e-05,0.9963310323675335,0.9899196579540492,0.9985843989976143,0.9942344487002235
