Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.342,35.20675222746431,0.40605213514617194,0.4,6.457713288879518e-05,0.9968408884562021,0.9900684232964247,0.9987274722245189,0.9943870179599613
7.344,35.209051399042565,0.40608359708693215,0.4,6.315341848479248e-05,0.9968423834281728,0.9900690957066146,0.9987279677751947,0.994387609288465
7.346,35.211299188445494,0.4061140164042118,0.4,6.172260830331972e-05,0.9968439141313757,0.9900697966513206,0.9987284807306464,0.9943882233359125
7.348,35.213495344624064,0.4061433915070437,0.4,6.02849467891296e-05,0.9968454805603533,0.9900705261441268,0.9987290110994075,0.9943888601132286
7.35,35.2156396253353,0.40617172097062515,0.4,5.884067871642731e-05,0.9968470827035395,0.9900712841936191,0.9987295588868711,0.9943895196273009
7.352,35.21773179715345,0.40619900353604205,0.4,5.739004915004819e-05,0.9968487205432708,0.9900720708033909,0.9987301240952933,0.9943902018809838
7.354,35.21977163547975,0.4062252381099733,0.4,5.5933303406709914e-05,0.9968503940557953,0.9900728859720487,0.9987307067237959,0.9943909068731018
7.356,35.22175892455078,0.40625042376436604,0.4,5.4470687016334086e-05,0.9968521032112851,0.9900737296932192,0.9987313067683687,0.994391634598455
7.358,35.22369345744546,0.40627455973608995,0.4,5.300244568345626e-05,0.9968538479738489,0.990074601955558,0.9987319242218757,0.9943923850478262
7.36,35.22557503609065,0.4062976454265673,0.4,5.152882524871932e-05,0.9968556283015462,0.9900755027427584,0.9987325590740583,0.9943931582079861
7.362,35.22740347126533,0.40631968040137767,0.4,5.0050071650463886e-05,0.9968574441464025,0.9900764320335618,0.9987332113115431,0.9943939540617028
7.364,35.22917858260346,0.4063406643898391,0.4,4.8566430886410626e-05,0.9968592954544263,0.9900773898017692,0.9987338809178462,0.9943947725877499
7.366,35.23090019859539,0.40636059728456714,0.4,4.7078148975453256e-05,0.9968611821656258,0.9900783760162539,0.9987345678733821,0.9943956137609159
7.368,35.232568156587995,0.4063794791410083,0.4,4.558547191955728e-05,0.9968631042140291,0.9900793906409743,0.9987352721554706,0.9943964775520153
7.37,35.2341823027833,0.4063973101769513,0.4,4.40886456657777e-05,0.9968650615277029,0.9900804336349885,0.9987359937383461,0.9943973639278993
7.372,35.235742492235914,0.40641409077201485,0.4,4.258791606839068e-05,0.996867054028775,0.9900815049524712,0.9987367325931661,0.9943982728514692
7.374,35.237248588848935,0.40642982146711204,0.4,4.108352885115766e-05,0.9968690816334557,0.9900826045427278,0.9987374886880221,0.994399204281688
7.376,35.238700465368616,0.40644450296389223,0.4,3.9575729569716916e-05,0.9968711442520618,0.9900837323502139,0.9987382619879497,0.9944001581735957
7.378,35.24009800337761,0.40645813612415954,0.4,3.8064763574115734e-05,0.9968732417890427,0.9900848883145535,0.9987390524549403,0.9944011344783238
7.38,35.24144109328693,0.4064707219692686,0.4,3.655087597147791e-05,0.9968753741430039,0.9900860723705583,0.9987398600479533,0.9944021331431104
7.382,35.242729634326494,0.4064822616794985,0.4,3.503431158882501e-05,0.9968775412067358,0.9900872844482486,0.9987406847229287,0.9944031541113179
7.384,35.243963534534416,0.4064927565934042,0.4,3.351531493604633e-05,0.9968797428672421,0.9900885244728749,0.9987415264328008,0.9944041973224496
7.386,35.245142710744894,0.4065022082071447,0.4,3.199413016903024e-05,0.9968819790057685,0.9900897923649404,0.998742385127512,0.994405262712168
7.388,35.24626708857481,0.4065106181737896,0.4,3.0471001052951797e-05,0.9968842494978336,0.9900910880402253,0.9987432607540284,0.9944063502123146
7.39,35.24733660240902,0.40651798830260627,0.4,2.8946170925735158e-05,0.9968865542132608,0.9900924114098102,0.9987441532563545,0.9944074597509294
7.392,35.2483511953843,0.4065243205583195,0.4,2.7419882661684533e-05,0.9968888930162114,0.9900937623801032,0.9987450625755502,0.994408591252271
7.394,35.24931081937203,0.40652961706035673,0.4,2.5892378635297732e-05,0.9968912657652174,0.9900951408528654,0.998745988649747,0.9944097446368397
7.396,35.25021543495951,0.4065338800820662,0.4,2.4363900685255694e-05,0.9968936723132176,0.9900965467252388,0.9987469314141657,0.9944109198213987
7.398,35.25106501143008,0.4065371120499161,0.4,2.2834690078606934e-05,0.9968961125075947,0.9900979798897752,0.9987478908011354,0.9944121167189977
7.4,35.25185952674184,0.4065393155426741,0.4,2.130498747514073e-05,0.9968985861902107,0.990099440234465,0.998748866740111,0.994413335238997
7.402,35.25259896750519,0.4065404932905624,0.4,1.9775032891962347e-05,0.9969010931974465,0.9901009276427681,0.9987498591576942,0.9944145752870924
7.404,35.25328332895907,0.4065406481743964,0.4,1.8245065668264055e-05,0.9969036333602411,0.9901024419936454,0.9987508679776518,0.9944158367653404
7.406,35.25391261494587,0.40653978322469836,0.4,1.6715324430310286e-05,0.9969062065041324,0.99010398316159,0.9987518931209382,0.994417119572185
7.408,35.25448683788519,0.40653790162079617,0.4,1.5186047056631019e-05,0.9969088124492984,0.9901055510166622,0.9987529345057155,0.9944184236024847
7.41,35.25500601874627,0.40653500668989534,0.4,1.3657470643436046e-05,0.9969114510106004,0.9901071454245216,0.9987539920473768,0.9944197487475402
7.412,35.255470187019235,0.40653110190613856,0.4,1.2129831470244036e-05,0.9969141219976263,0.9901087662464639,0.9987550656585673,0.9944210948951236
7.414,35.25587938068503,0.406526190889638,0.4,1.0603364965744253e-05,0.9969168252147355,0.9901104133394555,0.9987561552492087,0.9944224619295072
7.416,35.25623364618422,0.40652027740549396,0.4,9.078305673885382e-06,0.9969195604611043,0.9901120865561703,0.9987572607265222,0.9944238497314939
7.418,35.25653303838454,0.4065133653627922,0.4,7.554887220203427e-06,0.9969223275307745,0.9901137857450284,0.9987583819950534,0.9944252581784481
7.42,35.25677762054718,0.4065054588135802,0.4,6.033342278382305e-06,0.9969251262126978,0.9901155107502334,0.9987595189566972,0.9944266871443274
