Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.566,47.2095972749581,0.5052793957978798,0.4,-0.0036443625246117984,0.9828345289186583,0.9806691854740596,0.9925115167533972,0.9865901848211411
2.568,47.077966619837554,0.5031428825590617,0.4,-0.003668368074830542,0.9827645482813713,0.9806561422569214,0.9925039596463086,0.9865799413663056
2.57,46.94548079970487,0.500999993035897,0.4,-0.003691871451505345,0.9826935852472769,0.9806423173295887,0.9924957927050133,0.9865689904679337
2.572,46.81215791827845,0.49885108041172194,0.4,-0.003714871253362972,0.982621633376367,0.98062769991188,0.9924870078120555,0.9865573225721006
2.574,46.678016128235726,0.49669649724215104,0.4,-0.0037373661617125815,0.9825486868153418,0.9806122797658172,0.9924775972708718,0.9865449286139969
2.576,46.54307362824281,0.49453659537274214,0.4,-0.003759354940281601,0.9824747403096642,0.9805960472042232,0.9924675538117261,0.9865318000252159
2.578,46.407348659990966,0.4923717258565293,0.4,-0.00378083643503228,0.9823997892148604,0.9805789930987194,0.9924568705971973,0.9865179287405117
2.58,46.27085950523946,0.4902022388714722,0.4,-0.003801809573959054,0.9823238295070634,0.9805611088871252,0.9924455412272211,0.98650330720403
2.582,46.1336244828666,0.48802848363789825,0.4,-0.0038222733668665664,0.9822468577927982,0.9805423865802577,0.9924335597436862,0.9864879283750101
2.584,45.99566194592863,0.48585080833599603,0.4,-0.0038422269051284932,0.9821688713180157,0.9805228187681375,0.9924209206345863,0.9864717857329601
2.586,45.85699027872808,0.4836695600234287,0.4,-0.0038616693614270553,0.9820898679763693,0.980502398625595,0.9924076188377279,0.9864548732823083
2.588,45.71762789389141,0.4814850845531322,0.4,-0.003880599989473395,0.9820098463167438,0.9804811199172884,0.992393649743999,0.9864371855565316
2.59,45.57759322945756,0.4792977264913658,0.4,-0.0038990181237087288,0.9819288055500353,0.9804589770021294,0.9923790092001987,0.9864187176217637
2.592,45.43690474597704,0.4771078290360724,0.4,-0.003916923178986486,0.9818467455551858,0.9804359648371236,0.9923636935114303,0.9863994650798884
2.594,45.29558092362335,0.4749157339356239,0.4,-0.0039343146502353755,0.9817636668844787,0.9804120789806268,0.9923476994430621,0.9863794240711162
2.596,45.15364025931642,0.4727217814080054,0.4,-0.003951192112103615,0.9816795707680974,0.9803873155950246,0.9923310242222592,0.9863585912760556
2.598,45.011101263859594,0.4705263100605125,0.4,-0.003967555218584304,0.9815944591179532,0.9803616714488367,0.9923136655390883,0.986336963917275
2.6,44.86798245909,0.4683296568100121,0.4,-0.003983403702622199,0.9815083345307891,0.9803351439182532,0.9922956215472023,0.9863145397603679
2.602,44.724302375043905,0.4661321568038459,0.4,-0.0039987373757019076,0.9814212002905646,0.9803077309881071,0.9922768908641066,0.98629131711452
2.604,44.580079547136705,0.46393414334141875,0.4,-0.004013556127417771,0.9813330603701267,0.9802794312522913,0.9922574725710138,0.9862672948325886
2.606,44.435332513359256,0.4617359477965537,0.4,-0.004027859925025508,0.9812439194321793,0.9802502439136228,0.9922373662122898,0.9862424723106956
2.608,44.290079811490145,0.45953789954065544,0.4,-0.004041648812975899,0.9811537828295539,0.9802201687831653,0.9922165717944992,0.9862168494873451
2.61,44.14433997632557,0.4573403258667558,0.4,-0.004054922912430616,0.9810626566047923,0.9801892062790138,0.9921950897850538,0.9861904268420686
2.612,43.99813153692649,0.455143551914489,0.4,-0.004067682420760506,0.9809705474890517,0.9801573574245519,0.9921729211104715,0.9861632053936066
2.614,43.851473013884664,0.4529479005960633,0.4,-0.004079927611026461,0.9808774629003363,0.9801246238461883,0.9921500671542504,0.9861351866976331
2.616,43.70438291660709,0.45075369252327724,0.4,-0.004091658831443208,0.9807834109410745,0.9800910077705797,0.9921265297543655,0.9861063728440315
2.618,43.55687974062069,0.44856124593564073,0.4,-0.0041028765048261836,0.9806884003950407,0.9800565120213548,0.992102311200398,0.9860767664537299
2.62,43.40898196489659,0.44637087662965136,0.4,-0.004113581128021836,0.9805924407236444,0.9800211400153391,0.9920774142302969,0.9860463706751024
2.622,43.26070804919581,0.4441828978892831,0.4,-0.004123773271321565,0.9804955420615883,0.9799848957583012,0.9920518420267889,0.9860151891799482
2.624,43.11207643143573,0.44199762041773033,0.4,-0.0041334535778596556,0.9803977152119125,0.9799477838402209,0.9920255982134382,0.9859832261590549
2.626,42.9631055250791,0.4398153522704668,0.4,-0.00414262276299544,0.9802989716404373,0.9799098094300959,0.9919986868503675,0.9859504863173563
2.628,42.81381371654502,0.4376363987896587,0.4,-0.004151281613680069,0.9801993234696142,0.9798709782702955,0.9919711124296473,0.9859169748686952
2.63,42.66421936264355,0.435461062539985,0.4,-0.004159430987808152,0.9800987834718012,0.9798312966704706,0.9919428798703611,0.9858826975301982
2.632,42.514340788033344,0.43328964324590474,0.4,-0.004167071813554659,0.9799973650619745,0.9797907715010353,0.9919139945133567,0.9858476605162766
2.634,42.36419628270398,0.4311224377304197,0.4,-0.004174205088697379,0.9798950822898909,0.9797494101862282,0.9918844621156924,0.98581187053226
2.636,42.21380409948241,0.42895973985536845,0.4,-0.004180831879925336,0.9797919498317156,0.9797072206967656,0.9918542888447847,0.9857753347676763
2.638,42.06318245156508,0.42680184046329767,0.4,-0.004186953322133483,0.9796879829811297,0.9796642115421021,0.9918234812722717,0.9857380608891865
2.64,41.912349510075124,0.4246490273209428,0.4,-0.004192570617704092,0.979583197639932,0.9796203917623056,0.991792046367595,0.9857000570331863
2.642,41.76132340164624,0.4225015850643609,0.4,-0.004197685035775177,0.9794776103081514,0.9795757709195634,0.9917599914913166,0.9856613317980872
2.644,41.61012220603254,0.42035979514574123,0.4,-0.004202297911496381,0.9793712380736856,0.979530359089331,0.9917273243881741,0.9856218942362849
2.646,41.45876395374604,0.4182239357819371,0.4,-0.004206410645272698,0.9792640986014801,0.9794841668511359,0.9916940531798907,0.9855817538458308
2.648,41.30726662372093,0.4160942819047383,0.4,-0.004210024701996454,0.9791562101222656,0.9794372052790499,0.9916601863577432,0.9855409205618145
2.65,41.155648141006296,0.41397110511292456,0.4,-0.004213141610267937,0.9790475914208718,0.9793894859318433,0.9916257327749027,0.9854994047474729
2.652,41.0039263744866,0.4118546736261115,0.4,-0.004215762961605125,0.9789382618241274,0.9793410208428357,0.9915907016385582,0.9854572171850337
2.654,40.85211913463126,0.4097452522404331,0.4,-0.004217890409642905,0.9788282411883726,0.9792918225094532,0.9915551025018292,0.9854143690663089
2.656,40.70024417127274,0.4076431022860636,0.4,-0.0042195256693222435,0.9787175498865941,0.9792419038825108,0.9915189452554832,0.9853708719830498
2.658,40.548319171414555,0.40554848158661677,0.4,-0.004220670516069719,0.9786062087952025,0.9791912783552301,0.9914822401194654,0.9853267379170736
2.66,40.39636175706842,0.4034616444204272,0.4,-0.004221326784967873,0.9784942392804686,0.9791399597520065,0.9914449976342496,0.985281979230176
