Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.46,8.007021944097781,0.5242571204866698,0.3999997082916059,0.003799902002129543,0.3999997082916059,0.9910128827159873,0.9413579469055986,0.9565886830812563,0.9476481699507885
1.462,8.143302197421512,0.5263697432126716,0.39999909008903317,0.003771143749684641,0.39999909008903317,0.9911023805198034,0.9414694162617199,0.9567089382069821,0.9477702659176637
1.464,8.278538597167406,0.5284660389252794,0.3999984744870596,0.003741910760976338,0.3999984744870596,0.9911907374639276,0.9415793878680848,0.9568277093061544,0.9478908042998879
1.466,8.412714120650326,0.5305457148691631,0.39999786155468403,0.003712206814812645,0.39999786155468403,0.9912779615939065,0.9416878680487714,0.9569449976325327,0.9480097885212558
1.468,8.545811882408778,0.5326084802306925,0.3999972513606096,0.003682035755846659,0.3999972513606096,0.9913640612847986,0.9417948634834951,0.9570608047505188,0.9481272223483251
1.47,8.677815136567217,0.5346540461948206,0.39999664397323464,0.003651401494123884,0.39999664397323464,0.9914490452355561,0.9419003812002348,0.9571751325294737,0.9482431098837756
1.472,8.808707279181837,0.5366821260017739,0.39999603946064377,0.0036203080046167094,0.39999603946064377,0.991532922463164,0.9420044285676507,0.9572879831378818,0.9483574555595838
1.474,8.938471850569364,0.5386924350035325,0.3999954378905993,0.0035887593267460906,0.3999954378905993,0.9916157022965417,0.9421070132872983,0.9573993590373635,0.9484702641300211
1.476,9.06709253761841,0.5406846907200704,0.3999948393305321,0.003556759563890487,0.3999948393305321,0.9916973943702071,0.9422081433856452,0.9575092629765413,0.9485815406644752
1.478,9.194553176082907,0.5426586128953441,0.399994243847533,0.003524312882882111,0.399994243847533,0.9917780086177057,0.9423078272058869,0.9576176979847588,0.9486912905400999
1.48,9.320837752857189,0.5446139235529904,0.399993651508344,0.0034914235134905587,0.399993651508344,0.9918575552648049,0.942406073399574,0.9577246673656598,0.9487995194342964
1.482,9.445930408232247,0.5465503470517303,0.39999306237934956,0.0034580957478938736,0.39999306237934956,0.9919360448224618,0.9425028909180464,0.9578301746906259,0.9489062333170271
1.484,9.569815438132737,0.5484676101404407,0.3999924765265677,0.0034243339401371347,0.3999924765265677,0.9920134880795598,0.9425982890036837,0.9579342237920813,0.9490114384429706
1.486,9.692477296334257,0.5503654420128807,0.3999918940156417,0.003390142505578633,0.3999918940156417,0.9920898960954254,0.942692277180977,0.9580368187566617,0.9491151413435173
1.488,9.813900596660462,0.5522435743620483,0.3999913149118311,0.0033555259203237237,0.3999913149118311,0.9921652801921225,0.942784865247422,0.9581379639182596,0.949217348818613
1.49,9.934070115159594,0.5541017414341454,0.3999907392800032,0.0033204887206464426,0.3999907392800032,0.9922396519465306,0.942876063264242,0.9582376638509404,0.9493180679284527
1.492,10.05297079225995,0.5559396800821317,0.39999016718462477,0.0032850355023989744,0.39999016718462477,0.9923130231822136,0.9429658815469456,0.9583359233617416,0.9494173059850318
1.494,10.170587734903902,0.5577571298188446,0.3999895986897531,0.003249170920409076,0.3999895986897531,0.992385405961078,0.9430543306557239,0.9584327474833535,0.9495150705435563
1.496,10.286906218659972,0.5595538328696661,0.3999890338590276,0.00321289968786555,0.3999890338590276,0.9924568125748313,0.9431414213856913,0.9585281414666893,0.9496113693937209
1.498,10.401911689812604,0.5613295342247159,0.3999884727556618,0.003176226575691881,0.3999884727556618,0.9925272555362413,0.9432271647569797,0.9586221107733472,0.9497062105508566
1.5,10.515589767429159,0.5630839816905507,0.39998791544243406,0.003139156411908139,0.39998791544243406,0.9925967475702057,0.9433115720046878,0.9587146610679709,0.949799602246956
1.502,10.627926245403724,0.5648169259413527,0.3999873619816804,0.0031016940809812685,0.3999873619816804,0.992665301604633,0.9433946545686944,0.9588057982105114,0.9498915529215815
1.504,10.738907094477348,0.5665281205695819,0.3999868124352849,0.003063844523163885,0.3999868124352849,0.9927329307611447,0.9434764240833421,0.9588955282483964,0.9499820712126593
1.506,10.848518464234239,0.5682173221360859,0.3999862668646724,0.003025612733821698,0.3999862668646724,0.992799648345606,0.9435568923669976,0.9589838574086136,0.9500711659471723
1.508,10.956746685073563,0.5698842902196322,0.3999857253307997,0.002987003762749689,0.3999857253307997,0.9928654678384838,0.9436360714114947,0.9590707920897096,0.9501588461317478
1.51,11.063578270156432,0.5715287874658621,0.3999851878941477,0.002948022713477181,0.3999851878941477,0.9929304028850501,0.9437139733714699,0.9591563388537147,0.9502451209431575
1.512,11.168999917327653,0.5731505796356404,0.39998465461471316,0.0029086747425619295,0.39998465461471316,0.9929944672854302,0.9437906105535949,0.9592405044179956,0.9503299997187282
1.514,11.272998511011892,0.574749435652783,0.3999841255520005,0.0028689650588733773,0.3999841255520005,0.9930576749845019,0.943865995405715,0.9593232956470421,0.9504134919466737
1.516,11.37556112408383,0.5763251276511516,0.39998360076501405,0.002828898922865217,0.39998360076501405,0.9931200400616635,0.9439401405059019,0.9594047195441967,0.9504956072563531
1.518,11.47667501971194,0.5778774310210983,0.3999830803122497,0.0027884816458374063,0.3999830803122497,0.9931815767204641,0.9440130585514276,0.9594847832433295,0.950576355408466
1.52,11.576327653175522,0.5794061244552413,0.39998256425168743,0.0027477185891877877,0.39998256425168743,0.9932422992781179,0.9440847623476681,0.9595634940004666,0.9506557462851869
1.522,11.674506673654585,0.5809109899935654,0.399982052640783,0.002706615163653464,0.399982052640783,0.9933022221548994,0.9441552647969447,0.9596408591853777,0.9507337898802491
1.524,11.771199925992278,0.5823918130678232,0.39998154553646054,0.002665176828542091,0.39998154553646054,0.9933613598634389,0.9442245788873124,0.9597168862731298,0.9508104962889865
1.526,11.86639545242942,0.5838483825452322,0.3999810429951044,0.00262340909095324,0.3999810429951044,0.9934197269979166,0.9442927176813031,0.9597915828356118,0.9508858756983377
1.528,11.960081494310867,0.5852804907714517,0.39998054507255204,0.0025813175049900013,0.39998054507255204,0.9934773382231721,0.9443596943046323,0.9598649565330398,0.9509599383768237
1.53,12.052246493763283,0.5866879336128268,0.3999800518240857,0.002538907670960988,0.3999800518240857,0.9935342082637352,0.9444255219348793,0.9599370151054462,0.9510326946645045
1.532,12.142879095344052,0.5880705104978875,0.3999795633044253,0.0024961852345729094,0.3999795633044253,0.9935903518927878,0.944490213790148,0.960007766364162,0.951104154962924
1.534,12.231968147660924,0.5894280244580954,0.39997907956772105,0.0024531558861138874,0.39997907956772105,0.9936457839210651,0.9445537831177198,0.9600772181832975,0.9511743297250497
1.536,12.319502704962119,0.5907602821678216,0.39997860066754565,0.0024098253596276887,0.39997860066754565,0.9937005191857088,0.944616243182705,0.9601453784912295,0.9512432294452188
1.538,12.405472028696522,0.5920670939835538,0.39997812665688715,0.0023661994320790447,0.39997812665688715,0.9937545725390814,0.9446776072567064,0.9602122552621016,0.9513108646490939
1.54,12.48986558904369,0.5933482739823134,0.3999776575881414,0.0023222839225102414,0.3999776575881414,0.9938079588375461,0.9447378886064974,0.9602778565073432,0.9513772458836408
1.542,12.57267306641333,0.5946036399992823,0.39997719351310546,0.0022780846911891577,0.39997719351310546,0.9938606929302327,0.9447971004827326,0.9603421902672173,0.9514423837071354
1.544,12.653884352913959,0.5958330136646282,0.39997673448296966,0.00223360763874893,0.39997673448296966,0.9939127896477898,0.9448552561086937,0.9604052646024017,0.9515062886792067
1.546,12.733489553790452,0.5970362204395173,0.39997628054831114,0.0021888587053194354,0.39997628054831114,0.9939642637911397,0.9449123686690845,0.9604670875856112,0.9515689713509281
1.548,12.811478988830158,0.598213089651314,0.39997583175908646,0.002143843869650769,0.39997583175908646,0.9940151301202448,0.9449684512988812,0.9605276672932693,0.95163044225496
1.55,12.887843193737341,0.5993634545279527,0.39997538816462497,0.0020985691482289077,0.39997538816462497,0.9940654033428932,0.9450235170722502,0.9605870117972337,0.9516907118957575
1.552,12.962572921475642,0.6004871522314845,0.39997494981362147,0.002053040594383749,0.39997494981362147,0.9941150981035207,0.9450775789915448,0.9606451291565883,0.9517497907398497
1.554,13.035659143578286,0.6015840238907842,0.3999745167541302,0.0020072642973897117,0.3999745167541302,0.9941642289720707,0.9451306499763824,0.9607020274095003,0.9518076892061959
1.556,13.107093051425789,0.6026539146334197,0.39997408903355747,0.0019612463815590897,0.39997408903355747,0.994212810432912,0.9451827428528242,0.9607577145651596,0.9518644176566348
1.558,13.176866057490892,0.6036966736166743,0.39997366669865536,0.0019149930053283524,0.39997366669865536,0.9942608568738179,0.9452338703426554,0.960812198595799,0.9519199863864275
1.56,13.244969796550496,0.6047121540577208,0.39997324979551513,0.0018685103603375852,0.39997324979551513,0.9943083825750217,0.945284045052783,0.9608654874288075,0.9519744056149063
1.562,13.311396126864302,0.6057002132629397,0.3999728383695607,0.0018218046705032606,0.3999728383695607,0.9943554016983555,0.9453332794647575,0.9609175889389426,0.9520276854762385
1.564,13.376137131319988,0.606660712656383,0.3999724324655425,0.0017748821910845373,0.3999724324655425,0.9944019282764887,0.945381585924431,0.9609685109406478,0.9520798360103121
1.566,13.439185118544637,0.6075935178073766,0.39997203212753085,0.0017277492077432822,0.39997203212753085,0.9944479762022688,0.9454289766317543,0.9610182611804821,0.9521308671537511
