Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.402,3.7653553928986594,0.465963140672937,0.39551408353191436,-0.00011558553188854639,0.39551408353191436,1.016126962593959,0.955550279636047,0.9648814518026945,0.95875327937386
9.404,3.7609070962901487,0.46584000926554137,0.39549211282054164,-0.00013153799597103138,0.39549211282054164,1.0161185503092751,0.9555412431266866,0.9648725813242013,0.9587439420920545
9.406,3.7558849621036487,0.46570761757859647,0.39547006076866553,-0.00014746505083687258,0.39547006076866553,1.0161099421202713,0.9555318008971699,0.9648632281415834,0.9587341323078094
9.408,3.7502899424652263,0.4655659884996841,0.39544793041811577,-0.00016336461980822288,0.39544793041811577,1.0161011389118741,0.9555219539078992,0.9648533933116176,0.9587238510849585
9.41,3.744123064175197,0.46541514618262764,0.39542572477516624,-0.000179234631041775,0.39542572477516624,1.0160921415665747,0.9555117031370326,0.9648430779246998,0.9587130995158848
9.412,3.737385428528817,0.46525511604304776,0.39540344681086975,-0.0001950730178228207,0.39540344681086975,1.0160829509645348,0.9555010495806523,0.9648322831049454,0.9587018787216521
9.414,3.730078211126361,0.46508592475370986,0.3953810994613914,-0.00021087771885830388,0.3953810994613914,1.0160735679837112,0.9554899942529502,0.9648210100102963,0.9586901898521506
9.416,3.722202661672664,0.46490760023965655,0.39535868562834103,-0.00022664667856869288,0.39535868562834103,1.0160639934999893,0.9554785381864249,0.9648092598326385,0.958678034086252
9.418,3.7137601037662495,0.4647201716731352,0.39533620817910264,-0.00024237784737848482,0.39533620817910264,1.016054228387342,0.9554666824321013,0.9647970337979338,0.9586654126319841
9.42,3.7047519346779128,0.4645236694683148,0.3953136699471609,-0.000258069182005646,0.3953136699471609,1.0160442735179953,0.9554544280597588,0.9647843331663545,0.958652326726711
9.422,3.695179625119022,0.4643181252757981,0.3952910737324251,-0.0002737186457495219,0.3952910737324251,1.0160341297626159,0.9554417761581796,0.964771159232435,0.9586387776373297
9.424,3.685044718999404,0.46410357197692875,0.39526842230155407,-0.00028932420877752054,0.39526842230155407,1.016023797990509,0.9554287278354089,0.9647575133252265,0.9586247666604777
9.426,3.6743488331749248,0.46388004367789065,0.3952457183882745,-0.0003048838484103831,0.3952457183882745,1.0160132790698349,0.9554152842190307,0.9647433968084664,0.958610295122753
9.428,3.6630936571849135,0.46364757570361226,0.39522296469370044,-0.000320395549405872,0.39522296469370044,1.0160025738678378,0.9554014464564576,0.9647288110807524,0.9585953643809437
9.43,3.6512809529793175,0.46340620459146364,0.3952001638866488,-0.00033585730424108123,0.3952001638866488,1.0159916832510894,0.9553872157152349,0.9647137575757263,0.958579975822272
9.432,3.638912554635716,0.46315596808475584,0.39517731860395244,-0.00035126711339319864,0.39517731860395244,1.0159806080857476,0.9553725931833574,0.9646982377622689,0.9585641308646452
9.434,3.6259903680663617,0.4628969051260465,0.3951544314507736,-0.00036662298561853914,0.3951544314507736,1.015969349237827,0.9553575800696001,0.9646822531446994,0.9585478309569211
9.436,3.612516370715046,0.46262905585024217,0.3951315050009115,-0.0003819229382301479,0.3951315050009115,1.0159579075734848,0.9553421776038609,0.9646658052629835,0.9585310775791808
9.438,3.5984926112441653,0.4623524615775139,0.39510854179711036,-0.0003971649973735189,0.39510854179711036,1.0159462839593194,0.9553263870375169,0.9646488956929524,0.9585138722430135
9.44,3.583921209211779,0.4620671648060153,0.3950855443513648,-0.00041234719830072727,0.3950855443513648,1.0159344792626808,0.9553102096437915,0.964631526046523,0.9584962164918087
9.442,3.5688043547388286,0.4617732092044097,0.39506251514522156,-0.00042746758564279604,0.39506251514522156,1.0159224943519933,0.9552936467181345,0.9646136979719313,0.9584781119010596
9.444,3.5531443081666954,0.4614706396042119,0.39503945663008155,-0.0004425242136801331,0.39503945663008155,1.0159103300970935,0.955276699578611,0.9645954131539674,0.9584595600786743
9.446,3.536943399704947,0.46115950199193967,0.39501637122749717,-0.0004575151466112405,0.39501637122749717,1.0158979873695757,0.9552593695663052,0.9645766733142206,0.9584405626652955
9.448,3.520204029069429,0.46083984350107843,0.3949932613294695,-0.00047243845881953054,0.3949932613294695,1.0158854670431505,0.9552416580457295,0.9645574802113277,0.9584211213346286
9.45,3.5029286651109417,0.46051171240386823,0.39497012929874215,-0.00048729223513807753,0.39497012929874215,1.0158727699940155,0.9552235664052476,0.9645378356412282,0.958401237793777
9.452,3.4851198454341916,0.4601751581029027,0.3949469774690928,-0.0005020745711125946,0.3949469774690928,1.0158598971012356,0.9552050960575059,0.9645177414374255,0.9583809137835855
9.454,3.4667801760075436,0.459830231122555,0.3949238081456238,-0.0005167835732621989,0.3949238081456238,1.0158468492471326,0.9551862484398729,0.964497199471251,0.9583601510789894
9.456,3.44791233076327,0.45947698310021967,0.3949006236050505,-0.0005314173593382555,0.3949006236050505,1.015833627317686,0.9551670250148878,0.9644762116521344,0.958338951489371
9.458,3.4285190511885073,0.45911546677738424,0.39487742609598486,-0.0005459740585811278,0.39487742609598486,1.0158202322029428,0.9551474272707183,0.9644547799278778,0.9583173168589213
9.46,3.408603145907167,0.45874573599052715,0.3948542178392209,-0.0005604518119746801,0.3948542178392209,1.0158066647974358,0.9551274567216239,0.9644329062849335,0.9582952490670084
