Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
6.918,3.8241308898675235,0.39909513872137464,0.4017886335790548,0.00013644279319623164,0.4017886335790548,1.0191669358587263,0.9552664822705698,0.9631278893127857,0.9575297784678164
6.92,3.8290545529381896,0.3991958059270311,0.40178847360494674,0.00013708983216481556,0.40178847360494674,1.019169797035293,0.955271866416384,0.9631339745977441,0.9575358463671303
6.922,3.834001054198554,0.39929666057617685,0.4017882811422423,0.0001377115727725796,0.4017882811422423,1.0191726767550384,0.9552772681006593,0.9631400759986438,0.9575419316943202
6.924,3.8389694819907025,0.399397684714613,0.401788056226288,0.0001383079648295316,0.401788056226288,1.0191755744363025,0.9552826863137234,0.9631461923950925,0.9575480333245688
6.926,3.843958922930909,0.3994988603989347,0.40178779889799093,0.00013887896264728927,0.40178779889799093,1.0191784894965503,0.9552881200463222,0.9631523226674569,0.9575541501337118
6.928,3.8489684620716695,0.399600169699597,0.40178750920379963,0.0001394245250369349,0.40178750920379963,1.0191814213524806,0.9552935682898002,0.9631584656970599,0.9575602809984363
6.93,3.8539971830636253,0.39970159470397565,0.40178718719568296,0.0001399446153060963,0.40178718719568296,1.019184369420134,0.9552990300362778,0.9631646203663754,0.9575664247964782
6.932,3.8590441683173773,0.39980311751941433,0.4017868329311084,0.00014043920125526095,0.4017868329311084,1.0191873331149992,0.9553045042788302,0.9631707855592231,0.9575725804068175
6.934,3.8641084991651447,0.39990472027626656,0.40178644647301953,0.0001409082551733226,0.40178644647301953,1.0191903118521215,0.9553099900116605,0.9631769601609605,0.9575787467098724
6.936,3.8691892560222656,0.4000063851309249,0.40178602788981277,0.00014135175383236568,0.40178602788981277,1.0191933050462068,0.9553154862302767,0.9631831430586756,0.957584922587694
6.938,3.874285518548482,0.4001080942688407,0.4017855772553125,0.0001417696784816863,0.4017855772553125,1.0191963121117267,0.9553209919316639,0.9631893331413764,0.9575911069241566
6.94,3.8793963658090007,0.4002098299075314,0.40178509464874657,0.00014216201484105537,0.40178509464874657,1.0191993324630242,0.9553265061144556,0.9631955293001806,0.9575972986051489
6.942,3.8845208764352925,0.4003115742995783,0.40178458015471935,0.0001425287530932242,0.40178458015471935,1.0192023655144156,0.9553320277791066,0.9632017304285035,0.9576034965187631
6.944,3.889658128785624,0.40041330973561023,0.4017840338631854,0.00014286988787567858,0.4017840338631854,1.0192054106802924,0.9553375559280591,0.9632079354222434,0.9576096995554825
